"BROADCLIST, BROCKHILL",,,,,,,,,,,,
Grid ref,SX986956,Long,-3.438747,Lat,50.751115,,,,,,,
Station no,RR1017,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.09,3.24,1.27,3.18,3.55,1.25,5.24,1.04,0.69,1.35,,
February,4.53,1.29,1.67,1.78,5.60,0.83,3.21,1.08,1.50,0.39,,
March,1.19,2.61,1.81,2.86,2.29,4.17,1.44,0.55,3.11,4.87,,
April,1.27,3.22,1.44,2.04,0.94,2.47,0.95,4.45,2.21,2.01,,
May,1.64,0.92,1.96,2.99,2.20,0.36,2.31,2.33,1.58,1.07,,
June,2.36,1.66,2.31,2.54,0.86,2.68,2.32,2.02,0.45,2.75,,
July,1.22,1.85,2.13,3.22,5.04,0.62,0.72,1.12,1.57,2.18,,
August,1.09,0.95,2.89,3.27,2.52,4.44,1.03,1.87,2.75,1.94,,
September,0.70,2.51,2.46,3.11,2.09,1.20,1.07,0.61,2.25,1.54,,
October,1.91,2.57,2.41,5.93,1.31,2.09,4.14,6.33,2.29,4.94,,
November,3.64,0.87,4.32,1.79,1.63,3.48,2.64,2.70,1.55,0.71,,
December,4.40,5.76,2.58,4.31,2.82,0.76,1.95,4.46,3.20,5.02,,
Total,28.04,27.45,27.25,37.02,30.85,24.35,27.02,28.56,23.15,28.77,,
Calc annual,28.04,27.45,27.25,37.02,30.85,24.35,27.02,28.56,23.15,28.77,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
