"SPENNYMOOR  - Tudhoes, St Charles School",,,,,,,,,,,,,,,,,,,,
Grid ref,NZ263345,Long,-1.5933819,Lat,54.704839,Elevation,344,ft,,,,,,,,,,,,
Station no,3533/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.04,3.41,2.16,4.97,2.54,4.84,3.12,2.85,0.89,4.28,,,,,
February,,,,,,,3.53,1.07,0.93,2.49,5.97,2.04,0.78,2.07,1.83,,,,,
March,,,,,,,3.12,0.21,3,2.1,1.95,1.01,0.43,0.35,,,,,,
April,,,,,,,2.42,0.05,1.02,1.17,0.9,0.92,0.84,2.17,,,,,,
May,,,,,,,2.55,3,1.43,1.17,1.32,1.48,2.54,1.36,3.68,,,,,
June,,,,,,3.61,1.56,3.11,2.43,0.6,0.45,1.02,0.96,1.53,1.96,,,,,
July,,,,,,2.63,3.12,2.94,2.92,4.96,0.77,3.34,1.94,3.15,,,,,,
August,,,,,,,1.35,1.69,3.31,0.79,2.6,2.24,3.72,1.29,,,,,,
September,,,,,,,1.13,2.64,1.64,1.43,0.33,2.69,3.62,5.17,,,,,,
October,,,,,,,1.66,3.18,6.67,3.41,3.61,1.82,1.62,2.67,4.54,,,,,
November,,,,,,,1.7,2.78,2.51,3.22,3.26,0.95,2.06,4.57,1.01,,,,,
December,,,,,,1.49,5.86,4.58,1.37,2.3,0.24,2.44,1.17,1.2,2.09,,,,,
Total,,,,,,,31.41,27.41,32.2,26.18,26.24,23.07,22.53,26.42,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1936 Feb, Mar, Apr, May,Aug, Sept, Oct, Nov and total estimated hence removed",,,,,,,,,,,,,,,,,,,,
"1945 Mar, Apr, July, Aug, Sept and total estimated hence removed",,,,,,,,,,,,,,,,,,,,
