"BROADHEAD CLOUGH NO. 63",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,2709,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,6.94,8.91,6.53,5.76,3.61,6.59,6.83,4.60,12.78,2.37,7.76,
February,5.18,0.75,7.04,8.91,2.09,8.48,4.62,2.29,7.20,0.93,1.71,
March,4.35,4.65,4.95,2.91,1.57,2.79,2.93,7.28,3.93,0.84,4.17,
April,8.37,2.22,5.79,3.72,2.59,4.96,3.08,7.03,2.24,2.03,4.47,
May,6.32,2.26,1.22,5.99,6.62,5.29,5.11,1.71,1.98,3.42,3.27,
June,4.46,0.39,2.79,1.19,2.18,0.07,4.29,5.62,4.87,1.69,4.60,
July,6.93,1.79,4.98,4.62,5.29,2.44,3.66,3.31,1.77,3.97,9.09,
August,2.73,6.60,7.76,5.25,5.35,6.95,4.87,6.13,5.87,5.03,5.42,
September,2.31,1.39,5.13,5.66,5.02,4.82,3.44,7.24,0.61,1.88,6.18,
October,3.23,2.92,1.85,5.14,7.42,6.23,6.02,5.43,6.97,6.98,7.71,
November,2.11,2.80,3.83,8.29,4.06,4.61,5.68,7.47,9.78,10.68,6.20,
December,5.26,8.73,5.04,4.38,5.09,6.08,3.62,2.46,4.18,11.98,4.53,
Total,58.19,43.41,56.91,-999.00,50.89,59.31,54.15,60.57,62.18,51.80,65.11,
Calc annual,58.19,43.41,56.91,61.82,50.89,59.31,54.15,60.57,62.18,51.80,65.11,
Difference,0.00,0.00,0.00,-1060.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
