KNOCKHOLT WATERWORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ467583,Long,0.103129,Lat,51.304921,Elevation,785,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.39,3.8,3.4,0.74,2.62,2.25,1.75,1.27,2.81,0.72,3.94,4.06,0.97,1.05,2.94,5.21,1.3,5.9,1.45,1.75,1.2,2.55,1.45,5.84,3.68,1.22,4.19,2.32,1.45,3.56,4.57,3.01,3.12,3.69,1.68,2.97,2.74,3.11,3.13,5.28,1.17,3.67,2.04,2.91,2.34,3.25,1.48,6.12,6.99,4.36,5.41,2.57,2.84,3.55,6.15,2.63,2.53,3.58,3.14,4.95,1.64,1.36,3.44,2.9,1.33,1.9,4.11,4.32,2.2,3.57,3.32,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,3.07,1.05,0.04,1.35,4.44,2.08,0,0.56,2.55,1.62,2.71,4.48,1.36,1.6,2.17,3.69,0.84,2.82,1.82,1.67,0.52,4.36,1.84,3.06,0.92,4.34,4.78,4.22,0.87,1.52,2.44,0.56,0.49,2.58,3.98,0.88,4.43,3.08,5.87,1.85,0.57,1.1,2.62,0.48,2.55,0.26,5.05,2.16,5.99,0.84,1.79,2.63,4,1.25,2.44,1.15,2.49,3.32,2.33,2.58,1.68,5.82,7.28,1.05,1.89,2.71,2.21,0.95,4.65,2.43,0.16,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.7,3.2,3.05,1.27,0.65,1.55,2,3.88,5.2,2.16,0.86,0.87,2.88,1.97,3.05,1.45,4.28,1.42,1.22,3.17,3.56,1.22,2.23,4.49,2.89,5.56,0.69,3.57,1.75,0.96,3.8,1.33,1.92,2.12,2.68,1.13,0.99,0.35,4.3,2.71,0.03,1.88,0.4,1.8,4.61,2.79,0.56,1.5,3.56,0.51,1.71,3.18,3.27,2.61,0.43,0.06,1.5,2.09,7.09,1.05,0.93,1.58,4.57,3.85,0.47,3.37,1.68,1.23,1.47,1.59,2.25,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,3.28,1.7,1.1,1.18,0.1,2.95,2,0.8,1.37,1.45,3.12,1.04,2.41,0.76,2.28,1.4,2.32,0.6,3.33,2.59,1.75,1.76,2.34,0.12,3.34,1.29,1.71,1.79,2.5,2.81,3.04,4,1.73,3.68,2.39,4.17,2.82,5.47,1.88,1.77,1.22,1.64,4.88,2.42,0.94,3.67,3.79,2.35,3.24,0.37,3.15,2.12,1.88,1.87,1.72,1.8,1.52,3.19,2.16,1.7,2.12,3.7,3.8,2.06,2.75,0.4,0.29,1.72,0.12,1.58,2.61,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.8,1.64,3.22,1.35,0.4,2,0.5,0.21,1.49,3.71,1.45,1.31,0.75,2.71,2.35,2.41,0.83,1.34,2.49,1.92,1.44,2.93,1.99,0.95,0.97,1.53,3.09,2.85,2.08,2.15,0.22,0.73,1.5,2.04,2.93,3.63,2.75,1.54,1.05,2.17,2.27,3.76,2.86,3.87,2.13,0.89,1.58,0.47,2.7,2.84,1.85,2.41,2.53,3.38,3.05,0.43,3.12,3.87,1.83,2.54,1.98,1.43,2.3,1.56,2.07,2.81,4.5,0.75,1.74,2.05,1.3,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.52,2.53,2.63,4.63,1.35,1.75,0.05,4.56,2.3,2.45,1.24,2.49,1.65,4.02,6.05,1.14,5.99,2.56,1.39,2.63,3.73,2.77,2.43,2.53,0.81,1.12,0.64,3.26,2.02,1.24,1.12,2.03,0.36,1.61,0.73,2.51,0.2,3.38,3.49,3.51,1.09,0.81,1.7,1.16,2.03,2.02,3.52,3.66,2.84,0.67,1.13,0.56,2.48,0.15,1.91,1.74,2.2,2.56,2.85,4.02,1.11,2.62,1.72,1.71,2.27,4.43,2.19,4.11,1.45,4.01,1.26,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.06,4.45,3.35,2.07,3,4.5,4.15,2.16,0.56,0.58,1.22,0.95,1.9,1.31,4.75,1.48,0.47,1.49,1.26,4.27,3.59,3.02,0.51,1.25,2.3,1.49,4.99,0.96,4.92,4.83,2.14,5,0.51,3.3,2.56,5.46,3.7,1.65,3.02,1.93,1.98,3.58,2.73,3.08,2.34,3.17,1.32,5.31,1.03,1.99,2.51,3.5,2.37,2.45,2.54,1.55,4.21,2.42,1.72,2.16,0.87,2.82,2.64,0.85,5.03,3.58,0.26,4.6,3.87,2.02,1.75,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.8,2.71,2.17,5.32,3.65,0.53,3,3.83,2.23,3.11,1.27,0.76,3.55,2.03,2.98,4.23,1.91,2.77,0.7,1.94,4.09,2.03,2.45,0.47,5.52,1.32,2.05,3.48,2.55,6.96,1.3,2.58,1.96,1.66,3.08,2.22,3.34,1.91,2.59,4.24,3.22,3.33,3.39,4.54,0.85,1.12,2.54,3.59,0.87,3.15,1.77,4.13,0.06,5.16,3.6,1.22,2.8,1.94,5.42,0.29,6.46,1.76,2.26,5.9,4.24,2.13,3.37,0.93,2.68,3.41,4.36,1,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.33,1.58,1.05,1.25,3.39,0.75,2.04,0.62,6.13,2.68,0.53,2.85,1.38,1.52,0.59,2.75,2.17,2.44,2.35,0.81,1.89,3.73,0.95,1.52,3.37,1.42,1.39,3.15,1.2,2.25,5.37,1.31,4.61,1.36,2.3,1.94,4.14,2.85,1.43,5.84,0.91,0.25,3.74,1.92,1.9,3.23,2.46,4.66,2.55,2.09,2.34,1.14,1.8,0.68,2.51,2.24,3,2.09,3.58,1.4,2.48,0.85,4.47,3.17,3.58,4.35,2.92,2.44,3.08,3.03,8.67,0.25,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.54,4.85,1.45,6.35,4.6,3,5,3.28,5.56,0.42,3.5,2.29,2.28,2.59,2.58,8.03,2.5,1.64,4.92,3.8,1.67,6.1,2.88,4.6,3.41,4.51,2.04,2.47,4.66,4.71,2.39,0.8,1.38,1.09,1.38,6.29,3.52,4.49,4.01,2.6,5.21,4.35,1.86,0.86,6.68,2.25,2.5,4.54,2.81,3.39,4.12,8.17,4.32,1.44,3.8,3.22,5.49,3.98,1.35,0.27,2.34,8.94,0.35,1.4,3.58,4.39,3.13,5.42,1.8,2.25,3.92,3.89,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,5.17,0.95,3,3.28,3.42,3,4.25,5.48,1.55,1.58,3.67,5.18,3.07,0.86,2.31,3.02,1.96,4.53,6.38,2.33,1.33,1.24,3.77,5.84,2.66,3.51,4.41,3.33,5.35,2.12,2.21,1.63,1.78,1.82,2.1,1.99,3.5,3.02,7.02,3.4,3.57,7.92,5.54,3.85,1.89,1.45,4.33,6.75,5.04,2.04,4.14,6.85,9.62,3.87,2.39,2.22,6.02,0.91,5.24,1.48,2.22,3.44,7.57,5.89,4.18,2.1,6.28,1.4,0.93,3.37,2.12,3.29,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,1.9,2.4,0.88,3.12,2.47,1.56,2.7,3.07,4.15,3.82,3.26,1.77,3.95,5.3,2.01,2.31,3.9,0.97,1.88,3.61,3.09,4.16,4.66,7.15,3.65,1.41,8.94,6.99,3.24,1.84,3.2,4.64,2.79,2.03,4.33,2.71,4.32,3.63,0.53,4.99,4.1,7.64,2.6,0.79,1.16,0.66,8.23,4.73,4.31,5.57,3.93,2.06,2.06,3.1,3.56,2.39,2.48,4.12,3.47,3.53,5.11,2.26,2.68,3.58,2.95,1.05,2.41,2.84,4.25,2.73,3.37,6.67,4.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,29.31,26.92,36.11,30.12,21.4,34.07,26.73,33.06,27.89,24.92,27.39,29.43,24.22,23.89,43.93,29.22,28.38,32.36,25.45,30.07,33.05,33.32,32.37,36.85,27.08,35.38,39.51,35.97,33.47,31.54,28.29,29.18,17.59,32.21,32.1,39.57,33.53,34.16,43.81,36.23,31.82,33.57,29.19,28.2,25.65,36.11,41.57,37.15,42.59,27.88,39.9,34.83,33.62,31.12,29.53,29.15,30.61,40.09,28.09,37.61,27.58,36.66,45.69,32.51,29.83,37.31,28.27,30.42,30.29,39.69,27.75,43.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_02_pt1-page-125.csv added to location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1916 Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
