SUNDERLAND BOLDON RECTORY,,,,,,,,,,,,
Grid ref,NZ351611,Long,-1.453609,Lat,54.943333,,,,,,,
Station no,RR7496,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.39,1.09,0.42,,
February,,,,,,,,1.17,1.04,1.42,,
March,,,,,,,,0.81,2.49,5.67,,
April,,,,,,,,1.95,2.95,2.60,,
May,,,,,,,,3.91,1.72,1.69,,
June,,,,,,,,2.59,0.44,2.60,,
July,,,,,,,,1.80,2.76,2.62,,
August,,,,,,,,3.43,0.93,2.94,,
September,,,,,,,,0.37,1.69,1.77,,
October,,,,,,,,3.80,1.38,2.10,,
November,,,,,,,,1.60,1.07,1.31,,
December,,,,,,,,2.84,1.06,3.17,,
Total,,,,,,,,24.66,18.62,28.31,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.66,18.62,28.31,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,,
