SUNDERLAND BOLDON RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ351611,Long,-1.453609,Lat,54.943333,Elevation,180,ft,,,,,,,,,,,,
Station no,RR7496,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.39,1.09,0.42,2.19,1.14,1.73,2.51,1.4,,,,,
February,,,,,,,,1.17,1.04,1.42,2.31,0.65,2.07,0.36,0.52,,,,,
March,,,,,,,,0.81,2.49,5.67,0.59,1.63,1.27,1.23,0.98,,,,,
April,,,,,,,,1.95,2.95,2.6,1.98,1,0.09,2.51,0.31,,,,,
May,,,,,,,,3.91,1.72,1.69,2.23,0.6,2.12,2.42,,,,,,
June,,,,,,,,2.59,0.44,2.6,1.17,3.57,3.68,0.92,,,,,,
July,,,,,,,,1.8,2.76,2.62,2.08,0.32,3.15,0.49,,,,,,
August,,,,,,,,3.43,0.93,2.94,2.26,1.74,3.47,0.52,,,,,,
September,,,,,,,,0.37,1.69,1.77,0.69,2.28,1.5,2.08,,,,,,
October,,,,,,,,3.8,1.38,2.1,2.66,2.1,2.65,1.01,,,,,,
November,,,,,,,,1.6,1.07,1.31,2.77,2.51,1.57,0.93,,,,,,
December,,,,,,,,2.84,1.06,3.17,1.63,2.26,1.01,0.9,,,,,,
Total,,,,,,,,24.66,18.62,28.31,22.56,19.8,24.31,15.88,,,,,,
