"MAYEN HOUSE, BANFF",,,,,,,,,,
Grid ref,NJ 58002 47825,Long,-2.702775,Lat,57.518634,Elevation,360,ft,,
Station no,RR8781,,,,,,,,,
,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,1.27,
February,,,,,,,,,5.61,
March,,,,,,,,,3.02,
April,,,,,,,,,1.6,
May,,,,,,,,,1.88,
June,,,,,,,,,1.53,
July,,,,,,,,,1.84,
August,,,,,,,,,2.25,
September,,,,,,,,,1.36,
October,,,,,,,,,3.81,
November,,,,,,,,,3.71,
December,,,,,,,,,1.46,
Total,,,,,,,,34.5,29.34,
,,,,,,,,,,
Gardener's Chronicle 1847-48,,,,,,,,,,
,,,,,,,,,,
Station no,RR8781,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
