CHELTENHAM HEATH LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO956228,Long,51.9044,Lat,-2.0649,Elevation,206,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,3.97,2.86,5.15,1.93,1.75,3.75,2.84,2.89,4.08,2.86,4.87,1.39,2.73,1.19,1.05,2.16,2.84,2.82,2.43,4.36,2.62,0.62,0.64,2.43,2.09,1.28,1.83,1.83,3.27,0.76,1.99,0.68,3.45,3.02,1.37,0.79,3.33,,,,,,
February,,,,,,,,1.44,1.72,2.71,1.79,1.19,2.26,1.14,2.19,1.85,2.07,1.69,1.39,2.74,5.01,3.25,2.96,4.6,1.81,3.74,0.82,0.7,1.77,1.42,0.59,0.05,1.9,2.73,1.81,0.15,0.4,2.84,1.58,3.19,6.34,1.39,1.01,1.33,,,,,,
March,,,,,,,,2.86,2.61,1.47,1.27,1.36,2.1,2.88,0.86,0.9,3.15,1.83,0.99,1.16,1.19,1.57,1.59,1.59,2.79,1.18,2.23,1.36,3.4,3.86,0.91,2.18,0.78,0.15,1.34,2.12,2.28,3.96,0.66,0.63,1.29,2.16,1.78,3.23,,,,,,
April,,,,,,,,1.71,1.82,1.44,0.65,2.37,2.68,1.42,1.41,2.99,2.32,2.61,3.74,2.75,1.91,0.82,3.5,1.21,1.82,2.52,2.14,1.76,2.23,3.39,0.78,1.02,0.83,0.07,3.08,2.38,0.7,1.15,2.47,2.21,0.79,2.86,2.18,1.83,,,,,,
May,,,,,,,,3.05,1.2,3.12,1.06,2.1,1.3,2.45,1.04,2.25,0.99,1.98,5.25,2.81,0.9,1.08,1.84,1.87,0.93,2.58,4.22,2.04,1.42,4.09,1.78,3.73,0.89,1.45,1.99,0.41,0.27,1.11,3.92,1.77,2.12,1.24,2.42,4.16,,,,,,
June,,,,,,,,1.69,0.15,1.57,0.93,2.49,2.85,1.86,0.72,2.43,1.61,1.01,2.39,3.45,1.7,2.28,3.52,3.21,3.84,2.05,0.77,1.55,2.5,0.71,2.23,1.37,1.77,1.26,1.95,0.8,2.13,2.3,1.06,1.64,1.73,2.07,3.14,3.99,,,,,,
July,,,,,,,,2.35,1.05,0.51,1.63,3.5,4.52,1.98,0.9,5.95,0.67,4.08,2.18,4.36,5.06,2,3.53,3.77,3.18,0.12,3.42,1.24,5,2.44,3.29,4.18,2.06,2.73,2.21,2.44,1.36,1.27,1.18,0.84,1.74,2.18,1.15,4.55,,,,,,
August,,,,,,,,1.8,3.67,1.13,1.57,3.24,3.14,2.63,1.82,1.18,2.24,4.48,5.79,6.17,0.67,3.8,3.11,1.06,1.81,1.86,1.17,1.42,1.89,1.59,2.7,4.8,2.65,2.05,2.19,2.34,2.32,3.53,3.83,3.06,3.13,1.69,3.43,2.87,,,,,,
September,,,,,,,,1.83,2.43,3.43,1.3,5.48,1.52,1.45,3.54,2.89,3.91,3.18,2.66,2.88,4.58,1.79,3.19,3.83,1.03,3.35,3.05,2.55,0.89,2.19,1.08,1.75,2.67,0.93,3.14,0.82,4.66,2.32,0.68,2.14,0.53,1.51,1.63,2.5,,,,,,
October,,,,,,,,2.88,2.34,2.34,2.8,1.44,3.87,2.01,2.91,6.52,2.42,1.84,2.49,1.45,4.71,2.12,5.92,2.5,1.44,2.94,4.62,2.7,0.51,2.31,1.29,6.29,1.9,1.75,3.24,2.98,3.06,1.51,3.56,2.43,2.7,1.23,2.55,6.81,,,,,,
November,,,,,,,,0.37,2.44,2.36,2.8,0.65,5.09,1.66,2.64,5.32,3.13,3.51,3.6,1.26,3.12,3.34,3.81,2.92,2.02,3.69,2.51,3.02,5.75,1.06,2.04,2.48,1.95,2.19,4,5.19,1,1.52,2.62,2.57,1.77,1.53,2.15,1.85,,,,,,
December,,,,,,,,1.38,4.9,4.12,1.93,1.98,3.29,0.76,2.04,0.7,6.14,1.23,1.57,0.65,2.87,2.95,3.08,0.74,2.35,1.07,4.3,1.86,2.84,1.49,0.88,3.88,0.83,2.98,2.22,1.73,3.38,3.15,2.54,2.42,5.11,4.53,1.81,1.51,,,,,,
Total,,,,,,,,25.33,27.19,29.35,19.66,27.55,36.37,23.08,22.96,37.06,31.51,32.31,33.44,32.41,32.91,26.05,38.21,30.14,25.84,27.53,33.61,22.82,28.82,25.19,20,33.82,19.51,20.12,29,24.63,22.32,26.65,24.78,26.35,30.27,23.76,24.04,37.96,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The house was definitely on Pittville Circus. Not sure of the house number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 1869 corrected from 0.57 to 0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
