"KNARESBOROUGH, FARNHAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE348605,Long,-1.470108,Lat,54.039309,Elevation,170,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,0.33,3.47,2.39,1.46,2.72,0.83,3.85,2.27,1.02,0.5,0.25,2.28,2.83,4.02,2.08,2.86,1.27,0.58,0.81,3.21,0.95,1.1,1.04,2.92,3.57,0.45,1.75,0.74,3.09,3.38,1.24,0.84,1.96,2.52,0.62,3.15,,,
February,,2.45,2.5,1.11,1.26,1.12,2.39,1.84,1.11,3.08,2,4.01,1.05,2.12,2.43,2.15,0.74,0.88,1.07,1.33,0.96,0.05,1.85,2.4,3.98,0.28,0.53,2.68,1.12,1.38,5.36,1.37,1.36,1.91,2.86,1.09,1.53,,,
March,,0.92,1.85,2.63,1.33,0.88,3.69,2.35,0.72,1.46,0.92,3.2,2.24,1.48,1.89,1.58,2.43,1.12,3.64,2.15,1.62,1.08,1.2,0.3,1.72,2.16,2.76,2.51,0.87,1.12,0.84,1.86,0.82,2.96,1.7,2.1,1.3,,,
April,,2.55,2.83,0.82,1.09,0.66,2.71,3.9,1.66,2.33,3.38,1.08,4.05,2.33,2.18,1.32,2.53,0.96,2.73,2.5,0.8,2.23,1.21,0.82,2.23,1.7,1.21,1.46,3.15,1.73,1.45,2.33,1.36,1.38,1.46,2.29,0.42,,,
May,,1.12,1.36,2.05,1.53,1.53,0.76,2.16,4.68,1.28,1.97,1.63,1.78,1.2,0.92,3.12,3.75,2.07,0.76,2.76,2.26,1.68,3.04,2.26,1.74,0.39,0.51,1.2,2.28,3.45,1.31,0.72,2.29,4.35,3.14,0.86,2.3,,,
June,,4.97,3,1.67,1.18,1.94,2.16,1.77,4.28,3.66,2.44,1.74,3.57,3,0.6,2.87,0.9,0.2,1.58,0.28,2.11,1.07,3.9,1.12,3.48,2.07,3.14,3.49,1.42,1.2,3.36,1.62,1.76,1.82,1.22,1.71,,,,
July,,2.8,5,2.21,1.26,3.16,1.42,3.88,0.74,3.75,6.51,2.84,2.96,3.62,4.35,0.94,3.23,1.27,4.72,1.53,1.27,3.38,0.99,1.94,3.24,4.91,1.5,0.61,0.74,1.36,1.92,1.05,2.4,2.94,3.24,1.18,,,,
August,,1,3.32,2.18,1.86,2.02,2.55,3.93,5.09,4.03,1.6,5.2,2.15,1.34,0.68,1.57,2.11,1.95,2.2,4.27,4.33,3.96,3.44,2.27,2.81,4.51,1.79,3.21,2.51,1.11,4.02,1.76,2.33,2.24,3.29,3.03,,,,
September,,4.65,4.1,1.6,1.21,2.27,3.86,4.73,1.94,1.38,4.57,2.84,1.78,4.77,2.65,2.77,1.42,3,0.71,0.94,2.88,1.6,1.07,1.57,1.25,1.06,3.71,2.34,0.93,2.9,0.7,0.85,0.83,3.58,1.26,1.58,,,,
October,,3.1,4.3,1.41,1.42,4.35,2.87,3.32,2.23,0.86,5.6,3.2,3.68,3.57,1.2,3.89,4.03,2.39,0.4,3.88,0.42,3.51,5.59,1.98,3.88,4.27,3.15,1.72,3.33,2.58,3,1.41,2.65,6.82,0.61,1.53,,,,
November,,0.85,3.36,1.89,2.42,4.02,2.47,2.4,3.49,1.14,2.25,2.33,2.75,1.77,1.05,2.72,1.8,2.23,4.03,0.66,2.67,2.62,1.39,1.72,1.34,3.13,1.53,1.46,2.99,1.38,3.26,3.49,1.81,1.24,1.97,3.51,,,,
December,,1.35,3.98,0.36,3.33,0.9,6.48,2.12,1.47,1.01,4.28,3.46,3.57,1.36,2.02,0.58,3.25,1.58,1.83,1.7,1.01,3.08,0.57,2.87,1.51,2.5,3.86,2.36,2.46,2.87,2.48,2.73,1.81,1.33,1.43,0.33,,,,
Total,,26.09,39.07,20.32,19.35,25.57,32.19,36.25,29.68,25,36.02,31.78,31.86,29.39,23.99,25.59,29.05,18.92,24.25,22.81,23.54,25.21,25.35,20.29,30.1,30.55,24.14,24.79,22.54,24.17,31.08,20.43,20.26,32.53,24.7,19.83,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870 all estimated from Harrogate Cemetery so removed from concatenated file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
