BLEA WATER FARM - 1466' gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY456108,Long,-2.841287,Lat,54.489606,Elevation,1465,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,9.53,12.95,17.54,9.31,8.07,8.69,9.58,14.71,9.53,23.91,2.56,14.6,6.07,22.27,14.5,22.08,4.47,15.17,,,,
February,,,,,,,,,,2.11,9.97,0.38,10.88,14.4,1.14,11.17,13.1,6.54,10.33,2.36,0.65,6.75,0.74,9.01,0.79,15.94,5.13,,,,
March,,,,,,,,,,7.99,10.26,17.53,6.17,5.84,2.99,3.57,4.86,10.45,9.93,1.62,4.3,1.7,6.58,7.93,8.34,4.04,7.57,,,,
April,,,,,,,,,,4.53,9.92,2.02,3.79,6.8,3.92,9.73,6.15,5.46,2.94,3.15,3.74,5.54,11.93,5.46,7.36,8,2.76,,,,
May,,,,,,,,,,2,11.3,6.78,5.12,5.54,10.79,12.35,5.27,3.98,1.7,7.05,3.06,6.75,8.34,4.17,10.41,0.99,2.37,,,,
June,,,,,,,,,,4.61,3.74,0.34,4.41,3.75,6.72,0.18,7.81,6.6,12.82,4.1,4.15,10.87,3.81,4.49,6.3,9.81,7.46,,,,
July,,,,,,,,,,2.31,12.03,7,12.53,4.93,10.8,2.61,8.74,8.34,9.6,12.4,5.99,9.34,9.78,9.75,2.73,4.62,13.28,,,,
August,,,,,,,,,,6.81,8.15,12.95,8.28,18.87,9.31,10.08,9.45,11.3,14.45,12.77,13.34,7.05,1.74,6.89,10.07,7.02,7.49,,,,
September,,,,,,,,,,9.8,4.36,3.15,8.59,11.12,15.06,9.01,7.32,14.47,7.23,3.99,6.79,5.42,8.35,3.58,15.39,19.24,11.99,,,,
October,,,,,,,,,17.22,2.63,3.55,4.37,3.63,20.26,11.4,11.98,6.77,12.53,24.75,11.91,17.69,8.43,18.14,8.37,20.18,16.47,9.11,,,,
November,,,,,,,,,6.51,6.85,8.72,4.39,5.85,11.99,8.7,3.18,15.94,12.07,18.85,19.07,10.99,21.87,9.23,4.8,2.49,11.69,11.98,,,,
December,,,,,,,,,13.62,14.98,11.2,14.79,16.88,10.51,21.51,9.89,1.52,2.2,8.19,15.67,10.02,7.59,18.81,1.64,18.17,6.11,18.39,,,,
Total,,,,,,,,,,74.15,106.15,91.24,95.44,122.08,111.03,93.33,101.64,103.47,144.7,96.65,95.32,97.38,119.72,80.59,124.31,108.4,112.7,,,,
