"BLEA WATER",,,,,,,,,,,,
Grid ref,NY456108,Long,-2.841287,Lat,54.489606,,,,,,,
Station no,3664,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.30,9.20,3.52,9.80,11.19,9.10,25.92,13.02,7.88,16.49,,
February,9.61,2.37,4.20,7.80,3.13,2.05,11.78,12.24,4.97,17.90,,
March,4.42,8.00,2.22,7.63,5.12,4.62,13.14,2.89,10.22,3.08,,
April,6.97,6.82,6.54,2.23,4.31,2.33,3.84,4.43,10.86,11.15,,
May,2.39,4.27,4.55,7.51,11.57,7.97,5.97,10.12,2.34,4.12,,
June,2.28,6.60,4.93,10.85,8.54,6.33,3.87,6.96,8.63,7.79,,
July,4.60,3.26,13.45,9.10,3.92,10.04,9.86,7.98,10.56,11.69,,
August,9.34,9.38,10.03,10.50,4.30,16.38,11.98,8.73,2.42,6.87,,
September,15.31,10.61,13.48,22.01,8.85,8.64,12.04,14.70,2.27,6.67,,
October,1.45,13.75,6.14,32.18,8.20,12.31,16.89,11.89,15.22,8.04,,
November,19.79,7.26,15.10,21.22,5.41,4.64,5.17,2.51,16.81,25.30,,
December,18.26,9.83,5.76,19.12,21.23,17.27,14.17,10.34,24.89,16.02,,
Total,103.72,91.35,89.92,159.95,95.77,101.68,134.63,105.81,117.07,135.12,,
Calc annual,103.72,91.35,89.92,159.95,95.77,101.68,134.63,105.81,117.07,135.12,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
