BLEA WATER B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY456108,Long,-2.841287,Lat,54.489606,Elevation,1400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,22.7,14.66,23.62,5.58,16.06,17.92,23.54,19.49,4.02,3,11.44,20.19,13.51,8.07,13.2,14,18.93,8.5,6.8,9.3,,3.52,9.8,11.19,9.1,25.92,13.02,7.88,16.49
February,,0.93,9.26,0.98,16.28,5.44,15.41,6.98,19.11,4.18,11.89,3.6,10.56,3.9,12.5,7.6,,8.02,10.38,10,9.61,,4.2,7.8,3.13,2.05,11.78,12.24,4.97,17.9
March,,6.75,8.29,8.74,4.19,7.36,4.49,13.89,9.82,13.44,6.03,9.52,3.76,1.43,6.66,6.62,,8.64,3.28,6.77,4.42,,2.22,7.63,5.12,4.62,13.14,2.89,10.22,3.08
April,,12.13,5.88,7.81,8,2.99,7.68,1.28,5.12,4.45,3.95,8.58,5.84,4.47,5.27,2.12,12.75,4.39,8.74,5.48,6.97,6.82,6.54,2.23,4.31,2.33,3.84,4.43,10.86,11.15
May,,8.54,4.35,10.9,1.18,2.55,3.56,8.81,1.67,2.21,4.87,9.16,8.05,5.31,8.08,1.98,5.11,4.08,4.47,3.5,2.39,,4.55,7.51,11.57,7.97,5.97,10.12,2.34,4.12
June,,3.89,4.67,6.69,10.69,7.05,7.76,17.16,10.35,1.28,0.48,1.04,11.09,9.65,8.13,8.94,6.16,10.65,1.61,4.59,2.28,,4.93,10.85,8.54,6.33,3.87,6.96,8.63,7.79
July,,9.97,10.15,2.98,4.93,13.79,6.98,18.15,17.41,9.04,3.16,7.01,8.51,6.09,5.88,9.26,5.64,5.23,3.85,7.66,4.6,3.26,13.45,9.1,3.92,10.04,9.86,7.98,10.56,11.69
August,,1.81,7.56,10.35,7.45,7.94,5.35,8.4,5.53,4.41,13.53,11.17,17.04,8.74,3.31,10.45,0.48,10.89,4.37,14.9,9.34,9.38,10.03,10.5,4.3,16.38,11.98,8.73,2.42,6.87
September,,8.51,3.59,15.88,20.44,12.52,11.32,7.75,4.84,9.11,2.35,12.12,11.65,11.32,11.13,17.49,11.24,10.59,2.39,13.17,15.31,,13.48,22.01,8.85,8.64,12.04,14.7,2.27,6.67
October,,18.28,9.82,21.14,17.99,16.06,5.71,34.89,4.57,14.67,12.4,9.9,14.34,10.75,13.11,1.88,3.14,8.17,12.89,9.39,1.45,,6.14,32.18,8.2,12.31,16.89,11.89,15.22,8.04
November,,9.38,5.06,2.62,13.42,12.02,3.61,23.15,23.91,14.48,8.37,2.8,6.41,18.93,1.03,18.12,12.95,7.9,16.3,7.54,19.79,,15.1,21.22,5.41,4.64,5.17,2.51,16.81,25.3
December,,19.01,1.76,20.84,6.53,20.66,6.93,11.37,6.78,11.46,7.61,14.84,7.5,7.88,7.32,11.47,3.52,14.53,14.68,3.93,18.26,,5.76,19.12,21.23,17.27,14.17,10.34,24.89,16.02
Total,,121.9,85.05,132.55,116.68,124.44,96.72,175.37,128.6,92.75,77.64,101.18,124.94,101.98,90.49,109.13,,112.02,91.46,93.73,103.72,,89.92,159.95,95.77,101.68,134.63,105.81,117.07,135.12
Calc annual,,121.9,85.05,132.55,116.68,124.44,96.72,175.37,128.6,92.75,77.64,101.18,124.94,101.98,90.49,109.13,,112.02,91.46,93.73,103.72,,89.92,159.95,95.77,101.68,134.63,105.81,117.07,135.12
Difference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 values from Blea Water 1465' gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb 2.7, Mar 11 estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1952 Jan 9.2, Feb 2.37, Mar 8, May 4.27, Jun 6.6, Sept 10.61, Oct 13.75, Nov 7.26, Dec 9.82, total 91.35 all estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
