COVENTRY (BALSALL COMMON),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP235769,Long,-1.656115,Lat,52.389626,Elevation,385,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2470/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.345,0.65,3.33,3.54,2.82,5.63,2.76,3.81,3.52,4.24,2.08,2.2,1.56,2.15,4.95,1.63,0.43,3.28,2.14,1.03,0.89,2.33,3.95,1.41,2.53,3.06,4.96
February,,,,0.425,1.95,2.37,3.46,0.69,1.39,2.65,2.73,0.89,1.27,1,2.16,1.41,1.58,1.17,0.85,4.94,3.3,0.48,0.89,2.7,2,0.65,2.52,3.66,0.06,2.14
March,,,,2.087,0.47,2.27,3.07,0.28,1.48,1.79,2.14,1.89,1.14,0.27,0.74,1.05,6.12,1.12,1.6,1.33,4.27,2.74,1.57,2.53,2.74,0.87,2.32,1.66,1.33,1.02
April,,,,2.503,3.76,2.06,2.31,0.05,2.2,2.99,1.02,1.49,0.71,2.27,0.77,2.55,2.33,1.19,2.08,1.87,2.31,2.49,2.08,0.6,1.12,0.88,0.24,0.86,3.07,1.17
May,,,,0.815,1.57,0.55,2.43,1.65,1.21,2.24,2.87,3.78,2.57,0.77,2.48,2.53,2.11,2.65,3.06,1.62,3.41,2.54,1.64,2.56,4.62,0.77,0.99,2.1,0.77,1.15
June,,,,0.96,3.19,3.83,0.97,1.36,1.52,0.75,1.13,0.25,2.2,1.94,3.16,2.77,1.25,2.34,0.69,1.71,2.04,1.55,1.55,2.8,3.06,2.11,1.29,4.24,0.78,2.26
July,,,,1.955,0.8,6.45,2.52,3.21,5.23,2.97,3.5,1.56,1.63,2.79,1.78,2.92,3.68,1.84,2.73,2.77,0.98,0.41,3.79,3.23,0.86,2.43,2.86,3.65,1.21,2.55
August,,,,2.165,2.92,0.68,1.68,5.02,4.08,0.21,3.92,2.54,1.12,2.01,1.19,4.51,0.35,4.94,1.32,3.32,4.54,3.8,3.28,4.25,0.46,5.53,3.03,2.45,1.34,3.33
September,,,,2.18,3.98,2.87,2.61,1.88,0.91,1,0.48,1.28,1.4,4.3,1.51,2.24,1.64,2.98,1.41,3.59,1.7,1.38,2.05,1.75,1.42,2.05,3.92,4.14,0.04,4.11
October,,,,1.915,3.71,1.47,2.51,2.52,3.88,3.96,2.01,2.16,2.5,2.99,3.67,0.78,0.38,2.62,6.45,0.66,0.74,4.27,2.24,3.35,1.41,1.39,1.17,2.63,2.37,5.75
November,,,,1.795,5.02,2.34,1.6,2.94,4.33,6.78,2.91,1.85,1.42,4.49,0.17,5.91,1.89,1.9,3.14,4.2,5.2,2.11,0.96,5.14,2.18,0.48,1.74,1.86,3.32,3.52
December,,,,5.155,3.61,2.05,2.3,4.12,1.63,1.81,1.35,3.19,0.95,1.8,3.02,2.67,2.16,3.76,1.24,1.56,1.93,2.36,1.09,1.62,2.22,3.1,2.75,2.62,4.54,3.53
Total,,,,24.3,31.63,30.27,29,26.54,33.49,29.91,27.87,24.4,21.15,26.71,22.85,30.9,25.64,31.46,26.2,28,33.7,26.27,22.17,31.42,24.42,24.21,24.24,32.4,21.89,35.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,BALSALL COMMON ,01/01/1934,31/12/1961,,,,,,,,,,,,,,,,,,,,,,,,,,,
