"SAMPFORD BRETT",,,,,,,,,,,,
Grid ref,ST089402,Long,-3.303959,Lat,51.153779,,,,,,,
Station no,2093,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,2.27,2.57,3.64,3.17,,
February,,,,,,,5.10,4.00,0.21,3.41,,
March,,,,,,,2.37,0.90,2.85,2.20,,
April,,,,,,,0.08,0.58,3.22,2.53,,
May,,,,,,,1.21,2.57,0.57,1.07,,
June,,,,,,,2.31,4.27,1.43,1.45,,
July,,,,,,,2.63,1.09,2.78,3.73,,
August,,,,,,,2.31,3.26,3.12,3.28,,
September,,,,,,,3.71,3.67,0.07,3.99,,
October,,,,,,1.45,2.06,2.46,3.37,11.08,,
November,,,,,,0.68,2.26,2.56,6.00,3.44,,
December,,,,,,4.35,1.84,3.65,6.53,4.56,,
Total,,,,,,,28.15,31.58,33.79,43.91,,
Calc annual,0.00,0.00,0.00,0.00,0.00,6.48,28.15,31.58,33.79,43.91,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
