"BOLTON-UPON-DEARNE",,,,,,,,,,,,
Grid ref,SE455027,Long,-1.315240,Lat,53.519011,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.78,0.94,1.12,,
February,,,,,,,,1.37,1.81,0.51,,
March,,,,,,,,1.17,2.75,3.29,,
April,,,,,,,,1.98,1.97,1.45,,
May,,,,,,,,3.10,2.01,1.93,,
June,,,,,,,,3.22,1.18,3.44,,
July,,,,,,,,1.97,1.73,4.02,,
August,,,,,,,,1.60,2.13,2.24,,
September,,,,,,,,0.35,1.10,2.21,,
October,,,,,,,,5.05,0.88,1.64,,
November,,,,,,,,2.24,0.73,0.33,,
December,,,,,,,,1.96,1.26,4.28,,
Total,,,,,,,,24.79,18.49,26.46,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.79,18.49,26.46,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
