HEREFORD BELMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO479379,Long,-2.760938,Lat,52.037042,Elevation,291,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.2,1.75,1.9,1.83,2.75,4.58,0.35,1.83,0.25,4.75,3.29,2.2,0.79,3.12,3.1,1.13,3.87,1.41,0.79,1.01,2.79,1.04,3.88,2.89,0.63,2.46,0.74,1,2.6,,3.3,2.67,3.47,1.14,3.81,2.22,3.59,2.87,3.19,0.96,6.52,1.56,3.78,1.99,4.48,0.76,5.16,4.2,2.82,6.72,3,4.02,2.54,5.85,2.15,1.58,2.34,2.05,4.03,0.84,0.38,2.22,,0.58,1.83,,,1.29,1.77,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.75,0.1,2.43,2.88,2.45,0.07,0.3,2.41,1.4,3.47,5.29,1.03,1.25,2.16,4.51,0.77,1.58,0.99,1.02,0.36,4.08,1.31,1.92,1.39,2.66,4.34,4.05,1.05,0.91,,0.94,0.2,3.05,6.92,0.33,4.24,1.69,2.69,1.83,0.84,0.59,1.53,0.16,2.72,0.43,2.16,2.63,4.68,0.54,1.58,2.4,3.38,0.26,1.45,0.66,1.59,1.76,1.5,1.03,,2.95,,,1.24,2.13,,,2.31,4.2,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1,1.55,0.48,0.31,1.8,2.05,2.41,3.68,0.83,0.66,1.37,2.31,1.19,4.45,1.72,3.34,1.02,0.74,3.38,2.59,0.66,1.8,4.33,5.32,2.26,0.51,4.35,3.44,1.57,,3.5,1.65,2.18,1.14,1.26,0.46,0.33,2.76,2.92,0.09,2.56,0.49,1.87,2.2,1.68,0.62,2.8,3.41,0.04,1.42,1.3,3.31,3.16,1.55,0.31,0.7,0.87,6.32,,,1.09,,,1.03,2.12,,,1.48,1.02,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,0.85,1.55,0.92,0.18,1.56,2.56,0.89,1.72,1.95,2.09,0.93,2.81,2.12,2.08,1.07,2.78,0.87,2.7,2.86,1.96,2.25,0.92,0.18,4.49,1.12,0.78,0.76,1.16,1.85,,4.58,0.65,2.19,2.16,1.98,1.38,2.24,0.91,1.22,1,3.45,3.43,2.75,1.48,2.76,4.64,2.21,1.89,0.08,2.29,3.29,1.58,1.65,0.81,0.97,0.86,2.27,2.08,,,1.28,,,2.31,0.08,0.82,,0.02,0.21,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,2,3.15,1.73,2.54,3.31,0.54,0.21,0.65,4.69,1.85,2.66,0.75,2.02,4.6,1.73,0.48,2.39,3.02,2.02,0.82,2.08,1.28,2.51,2.24,1.49,3.65,3.39,3.34,2.32,,2.48,1.27,0.72,1.36,4.74,3.07,2.07,1.02,0.54,2.21,2.48,4.23,5.22,2.12,1.3,0.49,0.89,3.37,1.7,0.58,2.37,2.67,5.09,3.74,0.5,2.43,3.83,2.05,,,1.32,,,1.37,1.81,4.09,,1.41,1.8,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,1.85,2.2,2.54,0.89,2.43,0.7,1.71,3.52,0.88,1.78,1.43,2.46,2.12,2.45,0.84,3.55,2.44,2.17,0.86,1.68,4.15,2.1,3.61,0.88,2.26,0.57,0.85,2.3,0.7,0.83,3.19,0.22,0.69,0.34,1.79,0,1.22,2.67,3,2.15,0.23,3.73,1.41,2.24,0.81,3.72,3.92,0.78,1.43,2,0.81,2.9,0.57,2.14,1.3,2.44,1.33,1.48,1.82,0.31,1.73,,,1.41,3.64,3.62,,0.82,2.87,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,1.9,1.3,2.68,2.74,2.51,2.61,0.96,0.93,1.13,0.69,2.7,3.86,1.11,2.45,3.31,1.02,0.42,2.76,1.54,2.29,1.67,0.45,2.77,0.73,3.61,4.55,1.68,2.08,2.24,2.01,4.55,0.86,3.55,1.45,3.11,1.83,2.25,4.57,1.67,1.58,2.78,3.38,2.63,1.7,0.91,0.38,5.22,2.69,3.33,4.61,2.94,2.42,1.45,1.4,2,3.06,1.72,2,0.6,0.88,3.04,,,2.42,,1.26,,1.97,3.35,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.4,4.3,3.6,1.1,2.89,2.26,1.44,4.27,1.57,0.96,3.55,2.36,2.72,4.07,2.57,4.43,1.22,1.6,2.86,1.39,4.69,2.6,6.71,1.33,1.15,2.59,2.18,6.08,2.05,2.32,0.85,2.56,2.41,1.37,2.2,3.03,1.79,4.74,2.11,1.2,3.2,5.15,2.22,0.51,2.45,1.37,0.16,1.99,3.91,2.03,0.31,4.2,3.13,1.75,2.66,4.31,5.34,1.01,3.97,0.73,3.56,,,2.8,,,,3.57,1.27,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.75,1.4,1.69,1.1,2.97,1.32,5.49,2.22,0.66,2.98,0.62,1.63,2.51,2.71,2.04,1.2,0.96,0.66,2.3,2.87,0.58,1.46,0.78,2.83,0.96,0.72,0.61,2.35,7.48,1.48,2.27,1.21,1.46,1.83,4.87,3.08,0.91,4.06,0.92,1.29,3.69,2.17,4,2.36,2.17,3.63,2.8,1.79,2.38,0.81,1.59,1.03,1.98,2.96,2.14,1.55,3.85,1.09,1.93,2.79,2.64,,,2.78,,,,3.31,7.41,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.7,6.85,1.98,1.54,3.75,2.44,2.71,1.86,4.92,3.09,3.27,1.24,3.1,6.25,0.49,1.56,4.74,8.29,2.34,3.15,3.69,1.58,3.03,4.26,2.09,4.03,4.69,2.67,1.14,,3.3,1.2,0.47,4.88,3.31,3.06,2.15,2.2,4.44,4.53,3.05,0.63,4.88,3.98,1.39,3.18,1.7,4.32,2.99,3,5.03,1.16,2.19,2.77,4.23,3.03,0.99,0.44,2.26,4.75,0.92,0.6,,2.26,,,,0.83,2.32,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
