DALRY (TEMPLAND),,,,,,,,,,,,,,,,,,,,
Grid ref,NS290498,Long,-4.7234105,Lat,55.711384,Elevation,154,ft,,,,,,,,,,,,
Station no,5248/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,5.7,8.57,4.08,5.33,3.92,4.41,5.71,7.75,4.75,3.84,0.86,8,5.13,5.06,4.24,5.26,5.08,6.05,4.81,3.52
February,5.77,0.04,3.36,0.84,6.52,2.06,6.06,2.86,7.09,1.93,2.89,2.24,5.71,1.75,6.87,3.9,0.8,3.7,4.41,2.69
March,1.45,2.93,2.33,2.26,2.31,3.15,1.02,3.87,5.08,4.84,2.22,3.15,1.68,1.1,3.51,2.7,4.11,3.85,3.31,3.56
April,2.42,4.75,3.05,2.79,3.39,1.59,2.08,0.87,2.84,2.3,1.66,2.13,4.18,2.36,2.4,2.22,3.66,2.52,5.23,4.28
May,3.85,3.45,2.66,3.31,0.94,2.03,1.75,4.16,1.23,1,3.07,3.2,4.06,3.38,3.4,0.65,2.95,1.66,2.11,2.46
June,5.34,1.9,2.93,2.31,4.37,2.08,4.27,5.84,2.59,1.17,1.34,1.94,4.16,3.32,3.97,3.14,3.28,4.04,1.22,2.83
July,4.21,4.53,5.05,3.04,2.89,5.75,5.45,4.64,6.63,2.64,4.2,4.77,2.74,2.95,2.6,4.02,2.9,3.62,1.16,7.91
August,1.55,3.2,5.22,4.41,1.92,4.25,3.64,3.9,2.28,2.69,4.48,6.11,6.85,2.81,1.88,2.24,0.04,4.91,4.42,
September,1.81,5.85,1,7.23,6.17,5.03,3.16,5.39,4.02,5.62,2.34,6,3.19,4.86,4.36,7.73,3.97,6.34,2.31,
October,4.65,7.55,3.73,8.79,11.35,6.68,2.57,11.53,1.68,4.48,4.85,6.2,8.17,5.47,6.35,0.3,2.53,8.06,5.94,
November,8,5.18,2.83,1.86,6.1,4.66,0.66,9,9.07,6.56,3.31,1.07,3.49,6.2,0.55,6.83,5.41,3.96,5.85,
December,5.24,7.77,1.91,8.23,4.63,6.78,3.86,3.81,4.2,7.27,2.66,6.96,3,4.76,3.9,5.42,2.25,5.55,7.3,
Total,49.99,55.72,38.15,50.4,54.51,48.47,40.23,63.62,51.46,44.34,33.88,51.77,52.36,44.02,44.03,44.41,36.98,54.26,48.07,
