LONDON-DORSET-SQUARE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ276820,Long,-0.16219061,Lat,51.522511,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR7931,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,3.9,2.6,3.76,,1.5,2.38,3.46,2.59,1.47,,,,,
February,,,,,,,3.72,1.22,1.12,,0.95,1.47,1.18,2.54,1.11,,,,,
March,,,,,,,1.7,3.25,1.12,,2.42,1.09,2.74,1.73,0.81,,,,,
April,,,,,,,1.86,1.88,1.21,,0.5,2.85,1.18,0.74,1.31,,,,,
May,,,,,,,2.2,2.29,1.58,,0.83,1.27,3.74,1.81,1.59,,,,,
June,,,,,,,3.5,1.66,0.57,,0.78,3.27,3.01,2.64,2.64,,,,,
July,,,,,,,1.17,4.28,0.61,,1.12,3.57,2.45,2.02,1.06,,,,,
August,,,,,,,2.14,2.48,2.2,,2.85,0.94,2.03,3.31,1.49,,,,,
September,,,,,,,3.21,2.05,1.78,,1.62,5.2,1.56,2.82,1.66,,,,,
October,,,,,,,2.15,1.72,2.53,,3.73,1.73,5.42,3.38,2.75,,,,,
November,,,,,,,1.61,0.75,0.94,,2.05,0.68,4.14,2.62,2.22,,,,,
December,,,,,,,2.21,1.87,4.99,,3.04,1.27,4.2,0.55,1.61,,,,,
Total,,,,,,,29.37,26.05,22.41,27.01,21.39,25.72,35.11,26.75,19.72,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Dorset Sq. Altitudes match. NGR could be +/- 100m,,,,,,,,,,,,,,,,,,,,
