THIRSK GAS WORKS,,,,,,,,
Grid ref,SE431825,Long,-1.340,Lat,54.236,Elevation,114,ft
Station no,RR1941,,,,,,,
,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873
January,1.78,2.52,2.16,2.25,1.71,0.59,2.55,1.80
February,1.55,0.73,0.84,1.43,1.94,2.50,2.65,1.61
March,1.91,1.59,1.43,2.04,1.37,0.97,2.40,
April,1.23,3.60,2.05,1.71,0.55,1.92,2.20,1.11
May,0.68,1.86,2.04,2.91,0.34,1.16,1.80,
June,2.82,1.66,0.79,1.72,3.20,4.15,3.50,1.15
July,4.26,3.38,0.77,0.64,0.42,3.57,5.40,2.05
August,4.11,3.50,3.15,1.63,2.18,0.69,2.70,1.43
September,4.13,1.47,3.25,3.34,1.04,4.20,3.70,1.84
October,2.31,1.22,2.37,2.55,5.23,2.48,5.10,
November,1.24,0.94,1.61,1.80,3.15,1.21,4.03,
December,1.65,2.50,5.44,3.40,3.40,1.70,3.34,
Total,27.67,24.97,25.90,25.42,24.53,25.14,39.37,
,,,,,,,,
TYRain_1860-1869_05_pt1/178,,,,,,,,
TYRain_1870-1879_08_pt3/006,,,,,,,,
