LAIRG (CRASK),,,,,,,,,,
Grid ref,NC525246,Long,-4.510339,Lat,58.185498,Elevation,740,ft,,
Station no,5799/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,6.61,4.62,2.97,6.4,5.82,5.82,2,
February,,,3.87,3.64,4.99,3.26,4.78,4.54,,
March,,,1.76,4.51,2.5,1.84,4.53,4.22,,
April,,,3.87,2.13,2.29,2.9,1.72,2.68,,
May,,,2.96,4.88,4.46,2.76,2.19,6.61,,
June,,,2.8,3.17,1.63,2.36,2.73,3.5,,
July,,,4.53,4.64,1.37,7.36,5.44,,,
August,,,4.1,3.11,0.75,7.8,5.76,,,
September,,,4.13,5.22,5.14,2.26,3.97,,,
October,,,2.07,7.43,6.45,4.45,5.29,,,
November,,,7.6,5.31,2.63,5.55,3.64,1.71,,
December,,,3.96,11.99,8.67,4.87,9.75,4.35,,
Total,,,48.26,60.65,43.85,51.81,55.62,,,
,,,,,,,,,,
1953 G move,,,,,,,,,,
,,,,,,,,,,
Station no,5799/3,,,,,,,,,
Midas,16669 ,,,,,,,,,
Hyd Stn,782248,,,,,,,,,
