"LAIRG (CRASK)",,,,,,,,,,,,
Grid ref,NC525246,Long,-4.510339,Lat,58.185498,,,,,,,
Station no,5799/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.41,6.68,6.61,4.62,2.97,6.40,5.82,5.82,2.00,,,
February,4.10,2.01,3.87,3.64,4.99,3.26,4.78,4.54,,,,
March,4.62,4.10,1.76,4.51,2.50,1.84,4.53,4.22,,,,
April,6.57,1.24,3.87,2.13,2.29,2.90,1.72,2.68,,,,
May,0.67,2.55,2.96,4.88,4.46,2.76,2.19,6.61,,,,
June,1.68,3.25,2.80,3.17,1.63,2.36,2.73,3.50,,,,
July,3.65,1.42,4.53,4.64,1.37,7.36,5.44,,,,,
August,5.87,4.28,4.10,3.11,0.75,7.80,5.76,,,,,
September,1.90,5.27,4.13,5.22,5.14,2.26,3.97,,,,,
October,2.17,4.80,2.07,7.43,6.45,4.45,5.29,,,,,
November,8.88,7.03,7.60,5.31,2.63,5.55,3.64,1.71,,,,
December,7.33,6.07,3.96,11.99,8.67,4.87,9.75,4.35,,,,
Total,51.85,48.70,48.26,60.65,43.85,51.81,55.62,,,,,
Calc annual,51.85,48.70,48.26,60.65,43.85,51.81,55.62,33.43,2.00,0.00,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,,
