YARMOUTH BURGH HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG495046,Long,1.681405,Lat,52.581912,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.58,0.98,1.86,2.22,0.55,0.94,1.32,1.69,0.86,3.83,1.31,0.55,0.67,2.54,1.84,1.97,2.2,2.28,3.05,1.61,2.38,2.38,3.21,2.2,1.42,4.37,1.43,1.85,1,2.32,1.61,2.84,1.46,1.64,2.31,0.82,1.05,1.93,3.15,3.15,4.14,2.29,5.89,2.3,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.86,0.96,0.92,2.38,1.14,0.48,0.26,2.34,1.07,2.13,1.4,1.88,0.77,2.11,1.4,1.71,0.66,1.39,2.76,3.23,1.2,0.9,2.26,0.61,0.24,2.17,3.35,1.51,1.96,2.17,2.01,1.35,0.64,1,2.45,0.72,1.82,0.42,2.26,3.5,3.55,0.87,0.97,1.2,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.97,1.42,0.88,1.03,1.65,1.21,1.74,1.46,1.51,1.44,1.11,2.33,2.32,0.9,1.98,2.41,2.41,3.58,1.74,2.6,2.85,0.83,1.77,1,0.98,1.56,1.17,0.44,1.71,0.22,2.12,1.3,0.07,1.21,0.34,1.98,1.88,1.67,0.74,0.69,2.44,0.62,2.23,3.3,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,1.57,0.92,2.92,0.81,2.06,1.12,1.98,0.77,1.58,0.52,2.84,2.54,1.43,1.82,1.14,0.35,2.3,0.74,0.96,2.03,2.22,2.8,1.43,3.34,1.17,2.46,0.65,2.09,2.22,2.51,1.68,1.56,1.12,1.42,3.32,2.42,1.06,2.36,2.53,1.63,2.25,0.77,2.69,1.88,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.07,2.08,2.06,1.45,0.85,2.53,1.72,1.94,1.05,2.19,2.9,1.73,1.18,2.66,0.96,0.7,1.43,1.54,1.96,2.27,0.49,0.68,0.87,1.88,0.74,0.49,1.35,4.41,2.16,1.52,0.65,1.74,0.95,2.77,4.01,3.21,1.87,1.34,1.59,0.75,2.61,2.08,0.99,0.23,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,1.78,2.77,0.62,2.41,1.33,2.58,2,0.59,3.22,2,1.59,0.67,2.07,3.05,2.09,2.68,0.93,1.83,3.17,3.09,2.69,0.96,1.55,2.08,0.65,1.84,0.86,1.66,0.81,2.61,5.2,2.19,0.47,0.9,1.93,0.39,3.06,1.52,2.81,3.3,0.83,0.72,1.43,0.73,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.43,1.77,3.08,1.52,1.66,2.25,3.22,1.7,0.56,0.31,1.17,2.57,2.44,3.15,0.6,2.98,2.78,2.74,6.04,1.06,4.18,4.16,2.71,3.11,0.38,4.3,1.9,2.95,1.4,1.97,2.11,1.87,3.4,3.78,3.78,2.78,2.39,2.66,1.2,3.77,2.37,2.37,1.55,6.33,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.63,1.26,0.35,3.64,0.78,4.9,3.78,2.44,5.17,2.63,1,3.21,1.76,1.71,0.5,8.14,1.65,0.75,4.01,2.51,4.17,2.11,2.23,1.86,1.41,1.18,2.37,2.02,2.77,1.93,2.87,1.6,1.17,2.49,3.6,2.34,1.13,1.98,1.83,1.32,0.33,0.51,3.98,0.99,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.98,0.19,3.1,0.92,0.83,1.41,3.17,1.19,1.53,1.17,0.36,1.85,1.84,2.12,1.97,2.91,1.47,1.36,1.87,1.83,1.53,4.32,1.32,1.92,1.48,2.97,1.49,2.71,3.43,1,5.05,1.91,0.32,6.61,1.86,1.99,4.14,1.67,3.59,2.88,3.36,2.72,1.43,1.1,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.31,0.88,3.01,1.83,1.75,2,1.19,3.84,1.09,4.21,3.12,3.7,1.76,3.69,1.45,2.02,1.97,3.1,2.13,2.29,2.89,3.26,2.96,3.13,0.46,0.92,1.09,3.19,4.48,1.63,3.02,2.01,2.35,2.79,1.17,1.25,4.7,4.01,1.97,2.86,3.1,2.25,3.27,8.22,2.58,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
