MUIRAVONSIDE HOUSE [LINLITHGOW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS965753,Long,-3.659392,Lat,55.959527,Elevation,175,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,4.59,2.47,2.36,6.98,3.1,1.65,4.33,2.14,4.74,5.14,4.94,1.85,2,3.17,2.97,1.82,4.85,1.64,3.88,3.02,3.65,6.38,4.87,3.59,,,,,,,
February,3.16,0.85,0.86,6.75,2.7,1.9,1.85,2.81,1.68,1.71,4.22,5.18,2.12,2.43,2.9,3.49,4.98,0.97,3.7,1.83,5.38,0.37,3.07,4.44,,,,,,,
March,1.11,2.42,2.28,7.53,1.62,3.37,3.44,3.21,4.56,4.4,1.95,1.82,3.44,4.26,4.34,1.97,2.54,2.14,1.11,2.39,4.17,5.19,1.74,1.34,,,,,,,
April,2.35,2.2,0.89,1.34,4.36,1.73,1.05,1.59,1.35,3.4,4.05,2.37,0.85,2.88,1.77,2.61,2.38,1.85,0.7,2.02,1.74,1.15,3.01,3.03,,,,,,,
May,1.61,1.98,1.56,1.8,3.31,0.85,5.07,3.81,2.6,2.65,0.99,1.33,1,1.67,2.34,1.55,4.49,1.98,2.94,0.92,4.08,1.83,1.97,1.64,,,,,,,
June,2.65,2.35,2.66,1.94,1.52,0.3,1.45,4.2,1.72,2.38,1.73,1.61,4.08,2.97,0.56,1.63,2.89,2.15,0.42,2.1,0.91,0.43,2.26,1.27,,,,,,,
July,3.41,1.12,3.84,4.87,2.74,2.9,2.03,2.84,3.05,3.5,4.08,2.02,2.73,0.9,3.99,3.76,4.15,2.75,2.77,0.95,4.33,2.83,3.84,3.2,,,,,,,
August,4.25,3.86,2.1,4.5,4,3.25,5.97,4.67,2.82,2.7,4.43,1.85,4.44,1.25,2.23,4.55,3.83,4.66,2.03,2.17,5.48,6.72,1.93,5.63,,,,,,,
September,3.18,1.65,1.41,2.38,2.35,2.28,1.53,0.99,4.13,1.83,0.8,1.45,2.58,2.26,0.9,2.15,1.19,1.28,5.65,2.97,1.79,1.84,2.14,4.28,,,,,,,
October,4.8,2.29,1.4,7.9,1.23,2.24,5.81,8.36,1.4,4.8,1.73,3.61,3.36,1.78,2.1,2.96,6.79,4.1,4.9,1.2,0.95,6.06,1.85,4.26,,,,,,,
November,4.6,3.2,1.23,2.1,1.42,3.24,4.57,1.69,3.02,1.5,3.56,5.8,2.36,4,4.86,1.75,4.14,5.32,4.05,5.17,3.67,1.92,2.13,3.96,,,,,,,
December,6.3,3.56,4.25,1.94,4.41,2.93,1.9,4.27,1.67,5.05,2.18,3.17,6.37,2.87,5.62,6.28,3.76,3.18,2.94,4.73,3.44,5.6,3.99,3.25,,,,,,,
Total,42.01,27.95,24.84,50.03,32.76,26.64,39,40.58,32.74,39.06,34.66,32.06,35.33,30.44,34.58,34.52,45.99,32.02,35.09,29.47,39.59,40.32,32.8,39.89,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
