"MUIRAVONSIDE HOUSE [LINLITHGOW]",,,,,,,,,,,,
Grid ref,NS965753,Long,-3.659392,Lat,55.959527,,,,,,,
Station no,RR4151,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.59,2.47,2.36,6.98,3.10,1.65,4.33,2.14,4.74,5.14,,
February,3.16,0.85,0.86,6.75,2.70,1.90,1.85,2.81,1.68,1.71,,
March,1.11,2.42,2.28,7.53,1.62,3.37,3.44,3.21,4.56,4.40,,
April,2.35,2.20,0.89,1.34,4.36,1.73,1.05,1.59,1.35,3.40,,
May,1.61,1.98,1.56,1.80,3.31,0.85,5.07,3.81,2.60,2.65,,
June,2.65,2.35,2.66,1.94,1.52,0.30,1.45,4.20,1.72,2.38,,
July,3.41,1.12,3.84,4.87,2.74,2.90,2.03,2.84,3.05,3.50,,
August,4.25,3.86,2.10,4.50,4.00,3.25,5.97,4.67,2.82,2.70,,
September,3.18,1.65,1.41,2.38,2.35,2.28,1.53,0.99,4.13,1.83,,
October,4.80,2.29,1.40,7.90,1.23,2.24,5.81,8.36,1.40,4.80,,
November,4.60,3.20,1.23,2.10,1.42,3.24,4.57,1.69,3.02,1.50,,
December,6.30,3.56,4.25,1.94,4.41,2.93,1.90,4.27,1.67,5.05,,
Total,42.01,27.95,24.84,50.03,32.76,26.64,39.00,40.58,32.74,39.06,,
Calc annual,42.01,27.95,24.84,50.03,32.76,26.64,39.00,40.58,32.74,39.06,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
