DUMFRIES MARCH HILL COTTAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX980772,Long,-3.5982,Lat,55.0791,Elevation,63,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,2.02,7.14,8.12,5.37,3.76,0.55,2.8,2.85,3.62,4.75,7.6,3.9,3.91,7.1,2.8,2.3,5.56,3.11,3.64,5.16,3.28,2.58,6.35,6.44,3.79,,,,,
February,3.45,2.07,3.27,1.16,2.33,1.2,2.86,2.56,1.1,3.52,2.25,4.05,1.5,2.9,2.2,2.4,3,2.1,4.37,4.45,3.87,3.93,5.26,1.07,1.35,,,,,
March,0.93,3.77,0.32,0.75,2.25,2.1,0.94,3.96,1.66,3.05,4.05,5.3,3.05,1,3.2,1.3,2.03,1.72,4.72,0.53,0.86,2.09,3.06,3.12,2.01,,,,,
April,3.21,1.54,0.57,2.03,0.77,1.2,1.87,2.28,3.95,3.3,1.5,0.65,3.2,3.25,1.02,0.4,0.96,3.36,3.01,1.42,0.69,4.55,1.16,0.14,2.12,,,,,
May,0.78,0.62,3.05,0.44,,1.95,2.51,2.8,2.9,0.26,2,0.75,3.75,2.55,0.87,4.4,1.19,2.85,3.74,1.87,2.49,1.03,3.29,1.63,1.35,,,,,
June,2.22,2.8,3.7,2.27,,3.25,3.51,2.58,1.6,1.5,4.15,2.9,2.65,4.1,3,0.6,1.84,1.72,0.56,1.02,1.51,2.35,5.6,1.9,0.92,,,,,
July,2.34,2.99,3.55,3.07,,2.25,1.52,2.48,2.21,2.15,1.8,3.95,3.45,0.67,1.55,2.05,2.84,5.63,0.98,1.2,1.27,3.93,4.01,6.08,2.68,,,,,
August,5.13,3,6.77,2.4,4.75,3.75,4.65,2.62,3.94,2.05,4.45,7.58,4.47,2.1,0.85,3.8,3.26,3.36,4.73,0.86,1.72,2.54,3.04,5.8,6.25,,,,,
September,2.23,0.89,1.75,2.1,2.05,0.7,2.43,2.55,4,3.15,1.05,4,1.7,4,5,0.65,5.88,3.87,2.67,5.87,2.89,2.63,4.71,2.82,3.3,,,,,
October,1.61,3.08,1.97,4.48,3.5,5.05,2.48,2.3,6.3,3.25,6.6,3.75,7.1,3.7,4,4.35,2.39,4.01,3.53,1.86,5.72,3.54,4.61,4.83,5.13,,,,,
November,3.78,1.14,4.75,2.8,2.55,2.5,1.11,2.42,2.34,4.05,2,6.5,1.3,2.9,3.5,3.1,4.1,0.74,2.26,4.27,2.07,2.31,3.92,1.83,5.64,,,,,
December,2.71,1.57,10.97,0.57,4.05,1.85,4.64,3.8,3.94,5.25,4.3,3.55,5.35,2.5,2.65,2.4,3.4,2.05,7.05,4.49,1.95,3.84,5.25,1.35,,,,,,
Total,30.41,30.61,48.79,27.44,,26.35,31.32,33.2,37.56,36.28,41.75,46.88,41.43,36.77,30.64,27.75,36.45,34.52,41.26,33,28.32,35.32,50.26,37.01,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854 May-July estimated therefore removed along with total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
