LOCH GLASS (WYVIS LODGE),,,,,,,,,,,,,,,,,,,,
Grid ref,NH 48454 73657,Long,-4.546453,Lat,57.727024,Elevation,720,ft,,,,,,,,,,,,
Station no,5775/4,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,5.51,1.22,3.49,3.52,4.24,,,,,6.58,7.25,
February,,,,,,,,,5.42,1.34,5.19,2.66,6.33,,,,,5.62,7.4,
March,,,,,,,,,5.23,3.15,3.84,0.88,5.35,,,,,4.84,4.49,
April,,,,,,,,,3.74,5.1,4.2,2.95,3.86,,,,,3.66,5.94,
May,,,,,,,,,1.17,3.19,2.54,2.49,,,,,,4.81,2.85,
June,,,,,,,,,2.28,0.58,0.83,3.91,,,,,,3.81,1.44,
July,,,,,,,,,7.01,8.28,3.11,4.83,,,,,,3.11,2.23,
August,,,,,,,,,2.83,2.72,4.05,5.77,,,,,,5.59,3.83,
September,,,,,,,,,1.94,4.07,1.63,4.53,,,,,,4.23,2.35,
October,,,,,,,,,3.81,5.68,5.3,6.63,,,,,,5.62,3.39,
November,,,,,,,,7.76,7.62,9.05,5.36,2.37,,,,,,5.51,,
December,,,,,,,,4.67,3.23,5.77,7.21,6.87,,,,,4.86,7.18,,
Total,,,,,,,,,49.79,50.15,46.75,47.41,,,,,,60.56,,
,,,,,,,,,,,,,,,,,,,,
1941 Mar adj,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5775/4,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
