HOLT-THE-RETREAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST867619,Long,-2.192388,Lat,51.356014,Elevation,120,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,4.39,1.69,3.65,0.53,2.08,1.59,2.7,3.75,2.34,3.63,2.21,0.89,0.71,3.31,2.34,1.13,2.41,2.03,3.03,0.66,1.92,0.54,4.47,3.1,2.05,1.4,3.51,3.08,0.71,4.34,1.16,1.7,,3.31,0.93,4.59,3.89,0.52,4.55,1.56,1.42,3.13,4.72,3.76,3.09,3.1,1.73,3.74,3.01,3.36,3.7,4.3,1.94,4.26,1.95,3.21,2.39,2.66,0.94,3.93,4.12,,,
February,,,,,,,,1.63,1.75,3.96,3.44,4.19,1.68,3.62,2.11,3.22,0.67,0.63,1.79,1.72,0.72,0.05,1.48,4.05,2.7,0.18,0.37,3.11,2.14,3.35,5.11,1,0.85,1.95,3.46,0.8,2.32,1.52,1.48,,3.77,2.1,2.14,1.37,2.89,5.45,4.61,1.08,1.18,2.74,0.96,0.38,3.4,5.44,0.17,4.48,1.9,4.5,2.47,0.78,0.59,2.48,0.13,3.33,0.12,2.26,2.17,6.33,,,
March,,,,,,,,2.52,1.42,0.78,1.85,1.98,2.13,0.99,2.57,,1.89,2.35,3.53,2.75,1.11,2.11,0.82,0.5,2.31,2.46,3.35,3.91,0.69,0.86,1.38,2.12,1.83,3.96,1.66,3.68,1.8,1.02,3.34,,0.65,2.59,4.68,3.26,4.72,1.12,3.98,3.25,0.91,4.33,2.26,1.6,2.29,1.6,1.26,0.47,1.06,2.91,2.28,0.15,1.84,0.56,2.32,3.33,2.52,0.89,2.43,3.28,,,
April,,,,,,,,3.46,2.17,2.54,1.78,0.65,4.17,0.65,1.43,2.32,2.86,1.24,2.09,3.43,1.69,0.75,0.95,0.06,2.15,2.23,1.21,2.57,2.05,3.16,1.39,2.54,1.56,2.93,1.73,2.62,1.42,3.38,2.71,2.01,3.11,1.41,0.18,2.83,1.68,1.18,1.18,1.57,3.77,2,3.9,0.7,3.2,2.03,3,2.09,3.17,1.67,1.16,0.77,1.9,2.53,3.22,1.16,2.19,5.66,2.05,2.62,,,
May,,,,,,,,2.87,6.66,3.12,0.83,1.7,2.02,1.4,1.52,2.54,4.92,1.78,1.26,3.83,1.96,2.65,0.91,1.4,2.01,0.59,0.26,1.24,2.95,1.9,1.79,1.69,1.96,3.9,2.33,0.35,1.78,3.03,1.71,1.17,1.54,1.49,2.07,2.35,1.66,4.34,1.93,3.55,1.67,0.55,1.63,2.89,0.47,1.29,5.36,2.95,2.12,0.92,1.39,1.56,2.27,2.9,4.94,2.07,1.09,1.4,0.45,2.74,,,
June,,,,,,,,0.77,3.5,4.65,2.24,2.37,4.2,2.98,3.4,1.17,0.65,0.99,3.41,0.97,3.45,0.93,1.81,1.27,2.5,0.54,1.28,3.73,1.75,2.08,1.95,1.68,3.18,4.79,1.07,3.65,3.04,2.71,0.75,3.55,5.3,1.58,3.28,0.56,1.64,0.63,2.33,4.37,0.84,0.89,3.26,0.31,1.19,0.52,2.23,0.03,2.69,3.71,2.14,1.34,1.15,2.97,1.25,1.79,1.34,8.62,3.24,1.17,,,
July,,,,,,,,3.68,3.04,3.65,3.96,2.17,3.25,3.44,3.32,0.35,2.62,1.13,5.83,2.1,4.26,1.76,2.43,4.56,4.12,3.38,0.66,2.1,0.3,1.45,1.11,4,1.53,3.55,4.25,0.6,1.11,3.31,2.32,2.72,2.53,0.04,2.14,0.64,3.28,4.11,1.03,3.83,4.65,1.84,4.43,0.47,4.2,1.4,3.77,3.86,2.02,4.05,2.38,1.86,2.41,4.15,5.54,3.61,3.95,0.44,5.59,2.4,,,
August,,,,,,,,3.91,6.2,5.45,1.47,4.71,3.7,2.28,1.32,2.4,1.44,1.69,1.95,3.3,2.42,5.49,3.82,1.33,3.13,2.84,2.63,5.02,2.06,1.96,2.63,2.25,3.1,5.17,3.26,5.17,1.58,2.71,3.7,2.8,4.01,1.12,5.56,1.07,2.44,2.19,5.17,6.64,2.5,2.77,1.15,1.48,4.52,2.86,2.37,2.44,1.48,3.74,1.71,1.81,3.25,3.83,0.63,1.14,2.88,1.87,0.46,1.61,,,
September,,,,,,,5.62,2.89,1.69,3.16,4.47,1.77,2.81,3.9,1.79,4.77,2.16,2.62,1.63,1.29,1.31,1.82,2.89,1.7,2.86,0.97,5.71,2.34,0.86,3.37,0.73,1.87,1.44,2.4,1.89,1.58,0.9,0.92,2.05,3.64,0.21,1.09,1.27,3.05,1.53,1.88,1.26,1.59,6.37,1.76,1.16,2.24,1.83,2.86,3.5,3.92,1,6.06,1.81,0.38,3.65,1.86,4.35,2.76,3.42,5.73,2.95,,,,
October,,,,,,,1.31,2.13,4.83,1.14,4,1.74,5.59,2.93,1.13,3.85,4.49,2.25,1.15,3.02,1.32,7.38,3.21,3.15,3.73,3.63,2.4,1.62,4.25,2.57,3.01,1.82,2.05,6.89,1.1,1.69,5.49,5.35,2.12,5.24,4.14,2.7,4.43,3.18,2.7,4.96,5.76,5.2,1.6,1.92,2.48,1.31,1.37,5.65,5.11,3.1,3.76,2.21,4.68,4.33,2.9,1.12,5.59,2.29,2.15,4.62,1.84,,,,
