DORKING-HIGH-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ165494,Long,-0.33278601,Lat,51.231904,Elevation,235,ft.,,,,,,,,,,,,
Station no,RR8503,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,1.1,2.79,5.72,1.42,6.7,0.96,,,,,,,,5.07,1.7,,,
February,,,1.28,2.08,3.95,0.96,2.49,1.75,,,,,,,,6.87,3.75,,,
March,,,1.94,3.91,1.72,4.32,1.6,1.09,,,,,,,,0.72,4.57,,,
April,,,1.09,2.1,1.6,1.57,0.56,4.29,,,,,,,,2.78,1.43,,,
May,,,2.61,3.67,2.68,0.76,1.25,3.18,,,,,,,,3.26,2.49,,,
June,,,4.09,5.24,0.78,5.43,2.35,1.67,,,,,,,,2.26,2.62,,,
July,,,1.76,3.97,1.19,0.64,0.4,1.68,,,,,,,,5.43,1.64,,,
August,,,3.2,5.71,1.74,2.63,0.43,2.77,,,,,,,,2.34,2.52,,,
September,,2.56,0.84,3.8,1.58,1.93,1.78,0.39,,,,,,,,1.79,2,,,
October,,2.97,2.44,8.53,2.33,1.6,4.43,5.86,,,,,,,,3.01,6.02,,,
November,,0.86,3,2.49,1.47,4.98,5.62,3.7,,,,,,,,2.92,5.37,,,
December,,5.4,1.66,2.87,3.51,0.76,2.42,3.91,,,,,,,,6.96,3.72,,,
Total,,,25.01,47.16,28.27,27,30.03,31.25,,,,,,,,43.41,37.83,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is where 95 Dorking High Street should be, the observer lived there. Stated altitude is slightly high.",,,,,,,,,,,,,,,,,,,,
"Dec 1906 reading has ""+0.01"" below reading without explanation and the annual total includes this.",,,,,,,,,,,,,,,,,,,,
This addition has been ignored and the annual total adjusted.,,,,,,,,,,,,,,,,,,,,
