"LONGPORT (DRAYTON)",,,,,,,,,,,,
Grid ref,ST407237,Long,-2.846626,Lat,51.009611,,,,,,,
Station no,2072/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.42,2.44,0.50,1.81,3.24,3.06,2.14,2.29,3.52,3.01,,
February,3.97,0.47,1.15,2.41,2.07,0.11,3.85,3.21,0.33,2.88,,
March,2.82,2.14,0.44,4.01,1.02,0.55,1.82,0.50,3.31,1.87,,
April,3.03,2.02,2.88,0.20,0.83,1.49,0.09,0.62,2.86,2.32,,
May,3.20,3.48,1.85,1.70,3.51,0.40,1.89,1.86,0.79,1.25,,
June,1.16,2.17,2.99,2.91,2.28,1.45,3.42,3.30,0.79,1.25,,
July,2.54,0.33,2.18,2.48,1.50,2.30,2.46,2.50,1.49,4.26,,
August,3.26,4.91,2.01,3.63,0.90,2.70,2.86,2.94,1.01,4.49,,
September,2.37,3.40,2.07,2.09,0.96,3.67,2.67,4.50,0.20,3.90,,
October,0.93,3.47,2.67,2.05,1.37,1.79,2.35,2.02,3.66,9.01,,
November,6.95,4.04,1.60,5.89,3.83,0.47,1.87,3.25,4.81,2.65,,
December,2.50,2.49,0.71,2.67,5.79,2.90,2.75,3.69,5.58,3.19,,
Total,35.15,31.36,21.05,31.75,27.30,20.89,28.17,30.68,28.35,40.08,,
Calc annual,35.15,31.36,21.05,31.85,27.30,20.89,28.17,30.68,28.35,40.08,,
Difference,0.00,0.00,-0.00,-0.10,0.00,0.00,-0.00,-0.00,0.00,0.00,,
