LANGPORT-DRAYTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST406240,Long,-2.84769,Lat,51.01283,Elevation,46,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2072/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,2.19,2.84,2.68,5.77,1.71,2.32,2.39,2.79,4.22,0.69,0.45,2.42,2.44,0.5,1.81,3.24,3.06,2.14,2.29,3.52,3.01
February,,,,,,,,,,2.48,2.42,0.31,1.1,0.51,1.42,1.86,1.11,1.11,1.12,5.28,3.97,0.47,1.15,2.41,2.07,0.11,3.85,3.21,0.33,2.88
March,,,,,,,,,,2.04,3.33,2.18,1.03,0.15,0.64,0.81,5.24,1.07,1.27,1.09,2.82,2.14,0.44,4.01,1.02,0.55,1.82,0.5,3.31,1.87
April,,,,,,,,,,1.97,2.6,1.06,0.61,1.12,0.6,2.97,2.23,1.76,1.47,1.94,3.03,2.02,2.88,0.2,0.83,1.49,0.09,0.62,2.86,2.32
May,,,,,,,,,,2.4,1.5,6.35,2.16,1.51,3.2,4.95,2.09,3.5,2.34,1.96,3.2,3.48,1.85,1.7,3.51,0.4,1.89,1.86,0.79,1.25
June,,,,,,,,,,0.99,1.65,0.48,1.9,1.53,2.18,2.48,1.52,1.39,0.28,1.68,1.16,2.17,2.99,2.91,2.28,1.45,3.42,3.3,0.79,1.25
July,,,,,,,,,,2.25,2.11,1.63,2.97,2.03,1.87,1.14,1.68,1.8,1.72,3.98,2.54,0.33,2.18,2.48,1.5,2.3,2.46,2.5,1.49,4.26
August,,,,,,,,,,0.07,2.36,3.31,2.67,2.48,1.99,4.44,1.19,4.96,1.12,4.04,3.26,4.91,2.01,3.63,0.9,2.7,2.86,2.94,1.01,4.49
September,,,,,,,,,,1.48,1.7,1.94,3.36,1.93,3,3.64,1.22,1.51,2.53,3.53,2.37,3.4,2.07,2.09,0.96,3.67,2.67,4.5,0.2,3.9
October,,,,,,,,,,3.9,1.24,2.48,3.54,4.35,3.39,0.94,0.49,2.62,6.22,1.4,0.93,3.47,2.67,2.05,1.37,1.79,2.35,2.02,3.66,9.01
November,,,,,,,,,,6.08,1.87,1.2,2.53,5.26,0.9,4.52,1.57,1.37,3.5,5.21,6.95,4.04,1.6,5.89,3.83,0.47,1.87,3.25,4.81,2.65
December,,,,,,,,,,2.62,1.38,3.86,2.12,2.48,4.27,3.03,2.12,4.77,1.45,2.01,2.5,2.49,0.71,2.57,5.79,2.9,2.75,3.69,5.58,3.19
Total,,,,,,,,,,28.47,25,27.48,29.76,25.06,25.78,33.17,23.25,30.08,23.71,32.57,35.15,31.36,21.05,31.75,27.3,20.89,28.17,30.68,28.35,40.08
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Some years marked as read daily others monthly many don't say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Drayton SRC_ID 9119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
