DONAGHMORE MONTHLY GAUGE,,,,,,,,,,,
Grid ref,IH7658265255,Long,-6.8177032,Lat,54.530007,Elevation,260,ft,,,
Station no,6251,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,4.41,3.94,4.59,3.64,6.81,,,,
February,,,4.75,5.15,1.45,4.14,4.22,,,,
March,,,1.3,2.01,1.17,1.62,2.58,,,,
April,,,2.77,4.08,3.17,4.23,1.88,,,,
May,,,1.93,1.65,5.41,5.7,3.19,,,,
June,,,1.9,0.63,3.25,0.94,2.66,,,,
July,,,3.47,2.9,5.47,3.52,5.54,,,,
August,,,3.7,6.38,4.84,2.43,3.71,,,,
September,,,3.8,4.69,6.22,3.47,2.37,,,,
October,,,1.72,4.1,2.13,3.3,3.7,,,,
November,,,1.24,4.08,3.31,2.14,4.48,,,,
December,,,3.82,4.37,,4.09,1.53,,,,
Total,,,34.81,43.98,,39.22,42.67,,,,
