DUNGANNON DONAGHMORE,,,,,,,,,,,,,,,,,,,,
Grid ref,IH7658265255,Long,-6.8177032,Lat,54.530007,Elevation,300,ft,,,,,,,,,,,,
Station no,6251,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,5.19,1.88,5.93,4.8,2.43,1.55,0.7,,,,,,,,
February,,,,,,1.18,4.52,3.61,2.74,2,2.46,3.8,,,,,,,,
March,,,,,,1.3,4.13,2.35,1.92,2.44,2.9,3.35,,,,,,,,
April,,,,,,0.32,2.09,3.17,2.82,2.72,4.32,1.93,,,,,,,,
May,,,,,,1.92,0.58,3.21,4.42,3.45,0.98,2.09,,,,,,,,
June,,,,,,3.26,2.13,2.12,4.13,4.93,3.8,4.21,,,,,,,,
July,,,,,,3.82,0.99,3.12,0.22,5.51,5.21,2.81,,,,,,,,
August,,,,,,4.41,2.22,4.23,3.53,3.21,2.4,4.31,,,,,,,,
September,,,,,,3.62,4.07,2.09,3.71,4.42,3.71,2.91,,,,,,,,
October,,,,,,5,5,3.67,4.05,1.9,0.65,2.49,,,,,,,,
November,,,,,,4.56,3.04,4.31,2.03,1.35,4.68,4.66,,,,,,,,
December,,,,,,2.52,7.77,3.46,2.93,1.65,3.12,3.49,,,,,,,,
Total,,,,,,37.1,38.42,41.27,37.3,36.01,35.78,36.75,,,,,,,,
