"CARDIFF WW (NANT PENIG)",,,,,,,,,,,,
Grid ref,SN977191,Long,-3.486962,Lat,51.861074,,,,,,,
Station no,4157,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,12.29,9.79,3.17,5.24,6.74,11.79,14.54,10.10,11.22,13.42,,
February,8.48,2.46,4.40,9.99,3.20,0.93,8.98,14.07,1.08,10.31,,
March,8.34,7.86,8.90,6.78,4.73,4.16,11.56,2.84,8.92,3.71,,
April,9.49,5.81,6.04,2.89,6.30,1.83,0.92,3.07,10.33,7.67,,
May,4.17,6.57,5.92,5.68,8.27,3.31,5.53,8.12,2.49,2.35,,
June,3.73,6.49,3.58,7.59,10.30,5.79,1.95,5.53,3.90,4.67,,
July,2.78,3.60,12.08,9.87,1.90,9.35,10.92,7.50,9.34,11.72,,
August,13.53,10.92,8.06,11.91,2.86,8.16,7.94,7.43,2.25,6.91,,
September,10.13,5.38,7.71,10.96,5.25,9.90,13.67,16.13,0.52,7.96,,
October,2.56,7.85,6.78,22.39,5.11,4.83,10.63,10.62,11.37,11.08,,
November,18.71,6.49,10.02,15.52,6.17,2.63,5.80,5.10,14.30,22.33,,
December,13.15,9.14,2.90,10.71,13.50,12.63,10.67,8.59,21.02,14.35,,
Total,107.36,82.36,79.56,119.53,74.33,75.31,103.11,99.10,96.74,116.48,,
Calc annual,107.36,82.36,79.56,119.53,74.33,75.31,103.11,99.10,96.74,116.48,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,,
