BRIDGEWATER-FIDDINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST216404,Long,-3.122454,Lat,51.15746,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2087/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.53,0.77,4.38,4.18,1.68,1.27,3.13,3.44,,,,,,,,,,,,,,,,,,,,,,,,4.36,1.14,4.72,2.73,3.56,2.24,3.25,0.74,3.88,5.93,3.73,6.18,2.67,5.18,3.7,6.94,2.32,3.94,2.41,3.23,6.97,0.9,0.71,3.48,3.4,0.61,2.53,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,3.92,1.54,3.71,4.27,0.57,1.15,1.65,4.71,,,,,,,,,,,,,,,,,,,,,,,,2.99,1.27,0.73,2.23,0.04,4.7,0.27,3.19,2.57,5.06,1.08,1.31,2.63,3.43,0.39,1.74,0.83,2.32,1.84,1.68,1.12,1.7,5.53,4.5,1.24,1.61,3.3,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,2.93,3.61,0.68,0.51,1.26,1.88,1.67,3.23,1.94,,,,,,,,,,,,,,,,,,,,,,,,3.12,0.21,3.19,1.23,2.19,3.45,2.49,1.11,3.27,4.88,0.22,1.31,2.45,3.05,1.92,1.42,0.38,0.61,1.01,6.17,1.27,1.55,0.89,3.99,2.26,0.81,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.67,2.67,1.26,3.33,0.82,2.36,1.27,1.68,0.73,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.72,3.34,2.76,3.01,1.08,3.11,4.54,2.4,2.89,0.15,3.39,2.42,2.44,1.81,0.87,1.81,0.84,3.66,2.92,1.56,1.58,2.65,3.76,2.69,3.57,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,0.3,0.76,3.47,2.48,1.87,1.16,1.88,2.73,2.28,,,,,,,,,,,,,,,,,,,,,,,,0.59,2.42,1.51,3.5,3.77,2.62,1.27,1.72,1.55,1.97,2.2,1.33,2.22,1.66,6.2,3.1,2.67,3.89,5.5,2.76,4.02,3.1,2.94,3.44,3.72,1.98,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,2.11,2.4,1.16,0.59,2.08,1.34,2.73,3.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,2.29,2.61,0.6,2.62,1.27,1.78,2.48,2.34,3.51,0.59,1.84,2.94,0.72,1.68,0.75,0.85,2.3,2.41,2.52,1.78,1.99,0.23,1.54,0.75,1.82,2.56,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.7,0.85,0,0.44,0.71,1.86,1.29,2.03,2.72,,,,,,,,,,,,,,,,,,,,,,,,2.42,1.17,2.21,4.05,2.46,1.33,0.17,0.52,4.64,3.26,2.78,4.56,4.12,2.09,1.48,2.32,1.82,2.85,1.94,1.75,2.03,2.55,4.33,2.12,0.77,3.31,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.25,4.77,2.38,0.76,2.88,1.98,1.75,4.02,2.09,,,,,,,,,,,,,,,,,,,,,,,,2.24,2.81,3.31,5.37,1.8,0.89,4.65,2.81,0.31,1.52,3.6,1.74,0.1,3.86,4.43,3.4,2.18,2.07,4.91,0.89,3.48,2.35,5.28,4.39,6.72,2.94,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,5.29,3.35,0.68,2.07,0.4,2.3,3.13,3.18,1.19,,,,,,,,,,,,,,,,,,,,,,,7.75,1.69,0.38,4.6,1.46,4.79,2.36,2.39,4.03,5.04,4.48,3.25,0.9,2.05,0.91,2.05,2.95,2.43,2.33,4.53,1.3,1.27,5.22,4.83,3.62,3.58,3.41,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.48,0.76,5.19,2.67,3.16,1.57,2.55,7.15,1.21,,,,,,,,,,,,,,,,,,,,,,,2.25,5.32,5.54,3.19,0.9,6.64,4.34,3.84,5.06,1.63,3.68,3.02,3.57,5.39,2.18,2.78,2.87,4.33,3.19,1.27,0.79,3.51,7.22,2.32,1.36,4.58,2.93,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,0.91,0.83,3.58,2.84,3.81,0.51,3.51,1.97,1.52,,,,,,,,,,,,,,,,,,,,,,,3.4,3.87,9.61,4.06,5.23,2.66,0.79,1.69,6.67,3.52,2.34,3.71,5.67,6.89,3.17,1.44,2.81,6.1,1.44,6.03,2.28,1.78,5.19,6.88,8.15,5.15,2.29,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,4.89,4.79,3.01,2.97,4.92,5.28,1.92,3.01,1.89,,,,,,,,,,,,,,,,,,,,,,,2.88,3.52,8.01,4.15,1.51,1.95,1.17,8.13,5.01,3.16,3.05,4.34,1.83,3.11,2.17,3.44,2.76,3.83,5.76,4.23,2.61,5.82,1.78,3.38,3.67,3,1.12,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
