SELSIDE - Lowbridhe House,,,,,,,,,,,,,,,,,,,,
Grid ref,NY537010,Long,-2.7147228,Lat,54.402346,Elevation,736,ft,,,,,,,,,,,,
Station no,RR2821,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,,,,,,,,,14.16,10.22,,,,,,
February,,,,,,,,,,,,,13.87,1.84,,,,,,
March,,,,,,,,,,,,,0.29,2.47,,,,,,
April,,,,,,,,,,,,,1.2,5.45,,,,,,
May,,,,,,,,,,,,,6.06,0.34,,,,,,
June,,,,,,,,,,,,,8.98,5.13,,,,,,
July,,,,,,,,,,,,,7.57,11.08,,,,,,
August,,,,,,,,,,,,,7.87,4.56,,,,,,
September,,,,,,,,,,,,,2.81,4.97,,,,,,
October,,,,,,,,,,,,,4.94,6.41,,,,,,
November,,,,,,,,,,,,,8.94,5.17,,,,,,
December,,,,,,,,,,,,,15.79,0.34,,,,,,
Total,,,,,,,,,,70.39,76.39,70.58,92.48,57.98,70.51,,,,,
