LLANDRILLO-CROGEN-CHECK-GAUGE,,,,,,,,,,
Grid ref,SJ008367,Long,-3.4768328,Lat,52.918526,Elevation,530,ft,,
Station no,4326/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,6.15
October,,,,,,,,,,4.97
November,,,,,,,,,,10.33
December,,,,,,,,,,6.21
Total,,,,,,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is from 1950s record and is near Crogen. Stated altitude is slightly low and more consistent with the gauge being closer to the house. Gauge could be 100m or so NW. Continues to 1975, from MIDAS",,,,,,,,,,
