"LAGGAN SCHOOL HOUSE, INVERNESS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 61202 94383,Long,-4.287835,Lat,57.019627,Elevation,821,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,2.76,4.09,3.57,10.63,7.31,2.41,1.94,5.28,7.49,1.04,4.94,4.12,4.28,3.63,1.41,2.81,,,,,,,,,
February,,,,,,1.02,6.12,4.05,10.62,9.07,3.13,3.58,3.05,2.88,2.13,2.19,2.74,4.97,1.04,1.74,4.19,,,,,,,,,
March,,,,,,2.2,3.66,1.52,7.01,5.08,2.26,3.91,1.75,2.22,6.02,3.46,9.45,3.47,4.58,5.19,4.84,,,,,,,,,
April,,,,,,0.82,2.06,4.84,3.77,2.68,4.48,2,3.28,3.42,6.61,2.31,2.7,3.57,0.66,0.9,2.77,,,,,,,,,
May,,,,,,2.01,1.47,1.85,2.27,0.9,2.61,0.78,3.24,4.29,5.34,5.16,0.83,2.85,3.17,1.87,1.58,,,,,,,,,
June,,,,,,0.32,1.39,3.2,2.75,1.92,1.34,1.37,3.63,5.83,5.78,4.62,4.4,7.82,3.68,4.2,1.54,,,,,,,,,
July,,,,,,2.95,2.92,3.88,0.71,1.83,2.02,3.38,5.49,5.1,4.34,3.09,2.23,3.53,0.92,2.71,3.86,,,,,,,,,
August,,,,,,4.08,4.17,2.73,6.69,1.34,1.82,3.25,3.87,4.65,6.57,6.83,2.2,6.68,3.95,4.57,0.92,,,,,,,,,
September,,,,,,0.94,4.69,3.19,1.65,6.56,5.12,1.61,8.32,5.34,9.68,4.11,2.91,5.16,7.3,3.79,2.8,,,,,,,,,
October,,,,,,2.27,2.12,5.15,6.29,5.29,5.39,2.15,6.09,4.08,10.06,5.75,4.79,5.93,7.23,3.13,4.91,,,,,,,,,
November,,,,,,3.25,6.46,1.05,4.25,9.48,2.94,1.99,9.2,4.52,5.22,4.26,1.34,6.78,7.67,2.75,4.42,,,,,,,,,
December,,,,,,3.73,7.44,4.83,6.48,7.8,4.17,6.34,8.34,5.11,6.19,7.92,3.36,5.32,2.45,3.64,3.64,,,,,,,,,
Total,,,,,,26.35,46.59,39.86,63.12,59.26,37.69,32.3,61.54,54.93,68.98,54.64,41.07,60.36,46.28,35.9,38.28,,,,,,,,,
