HEST BANK LANCASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD473664,Long,-2.807,Lat,54.0916,Elevation,58,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,2.1,5.45,3.4,5.65,6.7,4.25,2.9,0.11,2.5,2.75,1.9,3.1,3.95,1.6,3.45,5.5,2.73,2.9,5,4.17,2.95,4.4,3.8,1.44,6.58,5.48,4.02,4.34,1.82,,,1.3,0.32,0.49,3.34,5.72,5.49,1.96,3.57,2.65,1.41,2.37,5.98,2.01,2.64,1.06,2.9,2.21,2.22,,,
February,,,,,,,,,6.75,2.07,3.35,2.1,3.36,0.83,1.76,1.15,-999,2.42,0.02,2.43,0.95,3.24,0.43,1.63,2.27,3.01,3.9,2.55,2.66,5.01,2.02,3.55,3.6,0.63,1.8,0.83,3.85,,,2.76,2.61,3.94,2.98,2.76,2.23,3.62,1.41,1.95,0.54,2.1,0.68,0.14,1.29,4.26,4.29,0.35,1.87,,,
March,,,,,,,,,3.67,0.55,0.7,2.85,0.03,1.38,1.87,2.13,-999,2.15,2.53,4.13,3.09,3.99,4.77,1.11,3.48,1.92,2.42,1.49,4.05,0.78,1.48,1.72,3.98,2.5,,0.77,,,,1.64,2.68,3.54,3.45,0.94,3.41,3.98,3.89,1.92,2.56,2.19,3.33,1.11,0.91,1.41,2.13,3.23,4.98,,,
April,,,,,,,,,1.56,0.87,3.09,1.35,0.56,2.78,0.76,0.65,-999,1.45,2.05,2.86,0.13,0.67,3.15,1.92,1.63,0.85,0.8,3.38,2.2,2.32,1.1,2.22,1.84,0.67,,1.1,,,,1.25,1.39,1.66,4.07,1.84,1.01,1.57,2.76,1.41,1.54,2.46,1.57,1.2,1.68,0.32,1.11,2.33,1.6,,,
May,,,,,,,,,1.9,1.4,4.22,0.64,2.28,0.7,2.1,1.15,1.25,2.27,2.45,0.3,1.98,1.1,3.37,3.2,2.3,5.11,1.46,1.63,1.69,2.78,2.1,1.5,1.22,1.77,1,2.05,,,,2.08,2.04,3.91,2.06,1.22,2.48,1.57,3.69,1.37,1.64,3.44,2.46,1.68,4.92,2.32,2.68,0.75,0.28,,,
June,,,,,,,,,4.28,0.9,3.83,3.56,3.95,2.68,3.54,3.32,4.32,3.39,1.11,2.2,6.96,2.37,3.72,4.83,3.8,0.44,3.84,1.3,0.55,1.46,1.76,-999,5.5,1.82,0.4,4.25,,,,4.91,3.19,3.62,4.15,3.68,0.86,1.55,1.62,0.42,1.9,1.08,2.69,1.34,2.59,1.28,2.85,1.61,3.03,,,
July,,,,,,,,,3.95,4.67,3.81,3.8,2.62,6.31,2.8,2.76,2.35,2.74,3.15,1.44,0.82,3.47,4.33,1.33,3.01,2.4,3.42,2.56,0.37,0.73,2.11,-999,5.25,4.12,2.24,3.65,,,,5.35,4.04,6.32,5.58,1.98,6.41,2.43,5.45,1.37,6.96,2,3.37,1.95,1.22,3.27,1.96,5.82,3.67,,,
August,,,,,,,,,4.22,2.73,5.01,4.32,6.6,2.58,4.06,2.65,4.42,2.9,-999,3.35,3.16,4.84,4.55,5.21,2.7,2.4,4.4,2.53,4.78,1.88,2.56,3.07,-999,4.63,5.72,3,,,,4.72,2.29,6.49,4.04,2.56,1.55,2.34,1.82,1.77,2.69,4.92,5.42,9.14,5.99,4.34,4.21,3.67,2.25,,,
September,,,,,,,,,2.72,3.54,1.25,1.82,3.13,2.68,2.5,1.8,2.7,2.5,-999,4.77,1.07,-999,1.96,6.6,3.43,2.35,8.3,3.91,1.94,7.39,2.22,3.71,-999,1.7,5.6,4.5,,,,3.51,3.64,2.13,2.31,4.14,3.69,5.07,6.09,3.87,1.44,2.33,3.61,5.68,7.02,3.45,0.67,1.46,5.02,,,
October,,,,,,,,,4.92,4.95,3.95,4.65,3.44,3.95,3.35,5.35,1.58,1.8,4.72,1.83,2.2,-999,7.7,5.64,1.93,4.91,2.01,3.1,4.78,1.8,9.08,5.72,5.4,5.4,5.72,2.9,,,,1.85,1.94,2.25,3.56,4.45,3.4,3.27,5.65,1.86,3.45,4.42,2.5,4.2,4.01,4.69,3.74,4.66,3.21,,,
