FRESHWATER-WW,,,,,,,,,,
Grid ref,SZ348858,Long,-1.50884,Lat,50.67159,Elevation,10,ft,,
Station no,599/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.37,1.27,2.53,3.75,5.3,2.53,4.46,3.1,3.57
February,,0.7,1.34,3.55,1.79,0.32,3.79,2.81,0.27,2.64
March,,3.55,0.38,4.18,1.04,0.53,1.99,1.18,2.2,2.31
April,,1.77,1.68,0.22,0.52,2.21,0.2,0.47,2.09,1.18
May,,2.26,1.86,1.83,3.36,0.43,1.05,2.81,0.71,2.17
June,,1.12,1.81,2.67,3.49,2.54,1.4,3.22,0.55,2.89
July,,0.38,2.88,3.24,0.36,2.78,4.48,1.42,1.72,3.21
August,,5.69,1.64,4.21,1.05,3.97,3.11,3.58,1.67,4.4
September,,5.76,3.36,2.55,1.73,4.12,3.76,5.4,0.3,7.5
October,,4.4,4.06,2.75,3.09,1.23,2.26,3.51,3.37,7.43
November,,5.1,1.82,5.63,2.68,0.76,3.36,3.44,4.11,5.99
December,,3.49,0.76,3,5.27,4.87,2.6,4.52,7.69,4.42
Total,,36.59,22.86,36.36,28.13,29.06,30.53,36.82,27.78,47.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1960 Jan Inspection found steep hillside to ESE otherwise site satisfactory,,,,,,,,,,
