HASLINGDEN (CALF HEY) NO.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD750222,Long,-2.380101,Lat,53.695637,Elevation,800,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,8.43,3.59,4.52,2.28,4.77,4.67,2.55,2.3,4.48,9.15,8.13,3.72,5.01,5.06,5.44,2.59,7.32,2.41,4.78,3.2,7.27,2.44,5.02,5.82,4.38,8.26,4.74,3.82,4.87,7.15,6.29,8.29,6.16,4.64,5.2,4.68,7.55,6.5,16.01,2.13,8.14,8.57,5.56,3.98,5.43,3.53,6.89,4.9,7.23,6.76,4.75,2.41,8.59,8.68,7.74,5.18,6.47,5.84,12.07,3.9,5.31,6.02,6.62,2.43,6.08,3.35,7.01,5.16,6.27,3.98,8.31
February,0.86,0.52,3.49,7.12,7.29,0.89,3.02,4.05,4.48,2.64,4.12,2.32,2.26,5.22,5.45,3.6,4.95,2.76,4.61,3.3,6.39,6.47,2.36,2.49,4.78,7.68,5.43,1.53,6.16,1.14,4.84,0.66,5.98,7.55,2.07,8,4.76,3.22,6.9,1.28,0.52,7.25,0.24,4.32,0.49,8.84,3.44,7.75,2.46,5.98,3.02,7.81,2.79,4.14,3.11,7.28,7.58,1.98,3.74,4,6.94,5.08,1.99,2.46,4.8,2.8,1.38,4.48,8.86,1.08,5.8
March,5.67,1.68,1.3,2.22,4.62,5.13,8.09,5.56,2.95,4.05,0.85,6.08,3.84,7.11,3.08,4.31,4.41,4.39,4.21,3.73,1.43,2.74,8.2,7.5,6.7,2.43,2.22,2.98,2.35,7.87,4.59,5.01,3.84,2.78,2.34,2.36,3.62,6.24,5.13,1.9,3.8,0.69,4.21,3.21,3.71,1.52,4.14,2.54,2.66,3.52,3.62,4.21,4.45,1.87,1.17,1.94,1.42,9.1,2.66,2.68,3.73,6.39,3.08,3.09,4.08,2.44,2.04,4.91,3.01,2.85,1.59
April,1.54,2.34,1.57,0.64,2.05,2.69,2.46,4.34,2.78,5.54,3.54,3.27,2.67,2.69,3.94,4.27,2.36,2.44,2.94,4.2,4.89,3.78,1.29,6.95,2.18,2.6,4.32,2.73,1.33,2.86,7.24,2.72,3.71,5.62,3.03,4.37,2.86,5.47,1.79,1.61,3.06,4.54,4.16,2.39,3.59,4.63,1.41,4.62,1.12,3.11,3.7,2.35,3.08,3.75,3.53,2.99,1.76,5.26,2.7,5.36,4.05,3.44,4.55,4.53,1.17,3.95,2.91,0.72,1.84,4.17,4.01
May,2.75,3.81,3.93,2.26,3.68,1.2,0.69,2.62,3.85,4.26,2.03,1.38,3.2,3.55,3.17,0.78,4.86,4.74,3.47,2.86,4.17,2.23,2.79,4.77,2.86,1.85,2.72,1.76,3.03,2.29,7.14,3.82,2.15,4.76,7.16,4.97,4.49,1.88,1.49,4.62,2.24,3,5.17,2.85,5.11,1.6,0.67,2,4.95,1.99,1,3.68,4.18,4.42,3.51,4.84,2.07,3.2,2.95,3.82,2.95,2.39,3.28,2.96,3.61,5.41,2.4,2.41,5.37,1.07,3.4
June,4.01,1.86,3.78,2.46,2.9,2.3,3.75,4.15,3.66,2.01,3.59,2.3,1.54,1.83,1.82,3.39,1.52,9.12,2.06,3.4,2.93,4.78,7.65,3.69,2.23,1.95,3.43,3.37,2.35,2.03,3.69,0.55,2.82,2.11,3.54,0.13,4.15,5.49,8.35,2.36,2.59,7,1.49,2.62,3.19,4.57,4.6,2.17,5.74,4.71,1.29,0.61,1.2,3.2,3.74,7.11,4.44,3.56,8.32,1.34,2.83,1.72,4.75,3.68,4.16,4.06,3.16,2.41,4.96,4.02,1.85
July,3.11,4.14,2.77,4.01,4.63,6.54,2.58,2.33,1.35,2.64,2.49,1.81,4.26,4.9,1.93,2.75,2.47,3.42,6.04,6.78,6.1,0.54,5.33,1.39,5.93,4.36,2.88,2.47,4.36,2.12,7.99,2.64,5.15,5.02,5.58,2.62,3.25,5.41,3.04,3.78,7.5,4.7,4.71,4.34,2.66,2.35,5.2,2.6,6.11,10.4,5.75,4.5,6.94,4.34,4.54,3.61,5.19,4.15,3.56,2.78,5.59,4.65,3.24,6.2,7.62,1.36,7.37,8.33,4.51,5.31,10.34
August,6.21,10.47,5.64,3.44,6.14,5.06,3.94,6.25,6.26,1.52,5.9,3.01,3.55,6.19,5.37,4.88,5.08,5.37,4.93,3.48,7.93,3.3,9.01,2.48,3.78,5.12,3.14,8.5,4.29,4.83,3.97,8.21,7.59,9.02,8.27,4.92,5.62,7.81,7.89,5.11,10.09,7.31,1.54,3.9,5.82,2.01,4.16,3.5,3.42,3.74,3.53,7.71,6.81,8.55,4.63,3.67,8.64,0.28,6.15,3.92,8.99,6.18,6.44,6.2,7.96,1.8,14.45,8.47,5.1,0.65,6.27
September,2.9,3.84,4.67,6.04,0.39,1.64,9.82,5.67,1.68,9.48,2.39,1.91,2.24,5.88,2.08,3.24,1.66,1.13,4.98,3.26,0.75,4.62,2.8,2.22,6.69,0.91,3.25,3.16,14.59,3.21,2.87,2.22,7.14,8.3,6.96,5.11,5.18,8.52,1.3,2.55,4.82,4.65,5.78,1.15,4.97,9,5.7,2.33,2.69,1.49,5.73,1.82,4.02,5.97,6.97,4.32,9.09,4.8,4.25,2.53,10.63,4.45,5.56,6.24,7.19,5.65,4.56,8.7,6.04,0.5,3.82
October,4.75,6.29,5.8,5.19,4.64,5.36,6.86,2.8,6.03,3.76,7.54,4.49,5.62,11.19,3.05,4.6,8.01,4.68,2.32,7.98,3.99,4.36,6.09,2.48,3.26,2.21,9.71,10.52,4.55,3.08,1.89,3.22,1.03,9.21,6.35,7.25,5.38,6.37,7.27,7.59,7.84,3.72,9.73,5.53,8.84,11.69,6.1,2.76,13.61,2.95,6.21,5.97,9.18,4.39,7.15,7.4,1.65,1.43,3.45,6.51,4.32,1.23,6.6,2.66,10.89,3.88,4.17,8.26,6.27,6.87,5.31
