"HASLINGDEN CALF HEY",,,,,,,,,,,,
Grid ref,SD754227,Long,-2.374083,Lat,53.700150,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,3.29,4.52,,,,,,,,,
February,,2.14,2.13,,,,,,,,,
March,,4.50,3.65,,,,,,,,,
April,,2.97,2.59,,,,,,,,,
May,,1.34,3.36,,,,,,,,,
June,,2.06,1.41,,,,,,,,,
July,,1.86,3.81,,,,,,,,,
August,,2.57,3.31,,,,,,,,,
September,,1.76,2.05,,,,,,,,,
October,,3.80,5.02,,,,,,,,,
November,,6.60,2.88,,,,,,,,,
December,,5.41,4.75,,,,,,,,,
Total,,38.30,39.48,,,,,,,,,
Calc annual,0.00,38.30,39.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
