WOODSTOCK-SANDFORD-ST-MARTIN,,,,,,,,,,,,,,,,,,,,
Grid ref,SP419273,Long,-1.391865,Lat,51.94263,Elevation,500,ft,,,,,,,,,,,,
Station no,1044/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,3.8,2.77,4.94,2.48,2.9,2.99,4.04,1.52,1.15,1.45,1.51,,,
February,,,,,,,3.68,0.81,0.89,2.42,2.58,0.6,0.8,1,1.6,2.11,1.57,,,
March,,,,,,,2.94,0.21,2.33,2.25,2.83,1.88,0.85,0.15,0.81,0.8,5.72,,,
April,,,,,,,2.87,0.04,3.39,2.23,1.39,1,0.7,1.84,0.92,1.52,1.93,,,
May,,,,,,,2.69,1.68,1.36,1.94,1.89,3.91,2.56,0.66,2.17,3.77,1.32,,,
June,,,,,,,1.52,1,2.69,0.55,2.03,0.17,1.59,2.01,2.36,2.42,1.34,,,
July,,,,,,,1.7,1.47,4.52,3.14,3.95,1.81,0.55,2.25,1.75,1.15,5.76,,,
August,,,,,,,1.15,2.04,2.5,0.05,4.11,4.29,2.1,1.55,1.84,4.44,0.53,,,
September,,,,,,,2.39,2.97,0.86,0.82,0.48,1.28,1.87,2.94,1.5,3.55,1.77,,,
October,,,,,,,2.98,3.12,5.69,3.77,1.57,3.3,2.57,3.59,3.44,1.44,0.58,,,
November,,,,,,,1.55,2.56,3.96,6.64,2.64,2.26,1.6,3.45,0.37,5.3,1.41,,,
December,,,,,,,1.78,3.33,1.42,1.39,1.48,3.01,0.83,1.78,3.18,2.52,2.07,,,
Total,,,,,,,29.05,22,34.55,27.68,27.85,26.5,20.06,22.74,21.09,30.47,25.51,,,
