ST-KEYNE-LOCRENTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX248602,Long,-4.46666,Lat,50.41577,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,8.46,5.53,6.07,2.95,5.79,1.36,7.85,7.7,8.47,8.99,3.65,5.67,6.53,10.1,5.18,3.8,,,,,
February,,,,,,,,,,,2.98,4.95,0.09,4.62,0.23,5.35,5.43,10.55,2.63,3.45,6.76,7.53,0.48,3.21,1.56,5.47,,,,,
March,,,,,,,,,,,3.68,3.22,3.14,5.02,4.39,1.38,5.63,7.03,0.62,2.7,4.64,3.96,4.98,1.29,0.37,2.11,,,,,
April,,,,,,,,,,,3.05,2.6,4.14,3.45,3.89,6.16,2.65,4.42,0.12,3.21,3.85,1.68,3.06,1.59,3.13,1.7,,,,,
May,,,,,,,,,,,2.76,3.9,5.34,2.23,1.93,1.92,0.63,4.07,4.13,1.36,2.43,3.06,7.84,6.11,0.9,3.49,,,,,
June,,,,,,,,,,,1.44,3.78,3.72,2.82,2.36,3.9,1.29,1.21,2.03,3.65,0.72,2.9,0.72,2.16,4.24,5.72,,,,,
July,,,,,,,,,,,3.41,6.4,4.06,3.32,1.2,0.62,9.64,2,4.34,8.05,3.17,1.76,3.7,3.34,3.81,4.04,,,,,
August,,,,,,,,,,,7.19,6.66,1.82,3.82,6.22,3.37,0.8,0.77,5.33,3.29,0.26,6.71,5.32,5.03,3.86,3.68,,,,,
September,,,,,,,,,,,7.69,2.54,5.84,2.55,4.71,5.2,2.49,3.85,2.53,0.88,2.65,0.73,3.53,4.63,3.66,2.52,,,,,
October,,,,,,,,,,,6.72,1.2,10.88,5.41,3.95,8.11,1.99,3.92,5.9,6.32,4.78,2.44,3.34,4.51,6.72,6.19,,,,,
November,,,,,,,,,,,8.69,9.7,3.33,1.62,1.91,7.69,5.44,3.84,9.37,12.03,10.76,3.45,1.52,4.02,10.89,1.86,,,,,
December,,,,,,,,,,,7.24,2.64,4.12,4.34,16.4,6.94,5.93,5.75,4.8,4.24,6.94,4.5,7.77,4.25,5.44,8.6,,,,,
Total,,,,,,,,,,,63.31,53.12,52.55,42.15,52.98,52,49.77,55.11,50.27,58.17,50.61,44.39,48.79,50.24,49.76,49.18,,,,,
