"MELBOURN (COUNTY SCHOOL)",,,,,,,,,,,,
Grid ref,TL381447,Long,0.014015,Lat,52.083435,,,,,,,
Station no,1190/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.77,1.35,0.80,0.81,1.73,2.68,0.97,1.97,2.75,1.88,,
February,3.47,0.56,1.40,1.62,1.19,0.53,1.63,2.50,0.13,1.63,,
March,2.74,2.94,0.64,1.91,1.23,0.48,0.85,0.85,2.05,1.59,,
April,3.09,1.21,2.03,0.20,0.45,1.15,0.21,0.80,1.98,0.40,,
May,2.41,1.57,1.54,2.64,3.08,0.44,0.79,2.10,0.51,1.09,,
June,1.56,3.99,1.87,2.36,1.63,1.99,1.81,6.00,0.65,1.45,,
July,1.18,0.67,2.23,3.28,0.10,2.02,2.21,3.79,3.56,2.72,,
August,4.26,4.55,2.14,3.09,1.21,3.64,2.47,3.11,1.04,2.07,,
September,2.22,2.82,1.67,1.38,1.50,1.55,3.01,2.30,0.11,3.60,,
October,1.30,1.75,2.34,1.66,2.80,1.46,1.84,2.25,1.22,5.03,,
November,3.37,3.19,1.29,3.49,1.18,0.81,1.42,1.77,1.58,3.17,,
December,1.33,2.08,0.48,1.68,1.80,2.15,1.54,2.40,3.25,2.82,,
Total,28.70,26.68,18.43,24.12,17.90,18.90,18.75,29.84,18.83,27.45,,
Calc annual,28.70,26.68,18.43,24.12,17.90,18.90,18.75,29.84,18.83,27.45,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
