MELBOURN-DOLPHIN-LANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL381447,Long,0.014015,Lat,52.083435,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1190/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.06,3.85,2.19,4.17,1.68,2.11,1.87,3.98,1.28,1.69,1.15,1.28,2.47,,0.88,1.77,1.35,0.8,0.81,1.73,2.68,0.97,1.97,2.75,1.88
February,,,,,,2.59,3.11,0.63,0.52,1.43,1.59,0.66,1.03,0.84,1.39,1.52,1.66,1.01,,2.47,3.47,0.56,1.4,1.62,1.19,0.53,1.63,2.5,0.13,1.63
March,,,,,,0.79,3.14,0.12,1.88,2.44,2.74,0.89,0.62,0.21,0.59,1.07,4.75,0.03,,0.3,2.74,2.94,0.64,1.91,1.23,0.48,0.85,0.85,2.05,1.59
April,,,,,,2.09,2.53,0.28,3.05,1.32,0.88,0.72,1.08,1.33,0.94,1.2,1.58,2.95,,1.68,3.09,1.21,2.03,0.2,0.45,1.15,0.21,0.8,1.98,0.4
May,,,,,,0.65,2.25,2.1,2.16,1.18,1.58,1.83,1.57,1.03,2.18,2.35,0.66,2.35,,2.1,2.41,1.57,1.54,2.64,3.08,0.44,0.79,2.1,0.51,1.09
June,,,,,,3.68,2,0.36,1.63,0.31,0.7,0.46,2.76,1.47,1.6,2.88,1.92,3.15,,1.01,1.56,3.99,1.87,2.36,1.63,1.99,1.81,6,0.65,1.45
July,,,,,,5.17,2.4,1.11,1.36,3.42,1.89,2.42,0.82,1.62,2.77,2.79,2.24,1.05,,4.13,1.18,0.67,2.23,3.28,0.1,2.02,2.21,3.79,3.56,2.72
August,,,,,,0.64,1.48,1.37,2.5,0.11,3.32,1.9,1.68,2.31,1.98,3.11,0,3.74,,2.41,4.26,4.55,2.14,3.09,1.21,3.64,2.47,3.11,1.04,2.07
September,,,,,,4.07,1.97,2.51,1.99,0.45,0.81,1.29,1.11,2.22,2.76,2.48,0.68,,,2.56,2.22,2.82,1.67,1.38,1.5,1.55,3.01,2.3,0.11,3.6
October,,,,,,1.71,2.57,1.86,3.47,1.62,2.33,3.14,1.94,3.48,2.23,1.47,0.17,,,0.75,1.3,1.75,2.34,1.66,2.8,1.46,1.84,2.25,1.22,5.03
November,,,,,,3.24,1.51,2.24,2.75,6.2,2.1,1.98,1.06,3.64,0.3,4.63,1.24,,1.15,3.18,3.37,3.19,1.29,3.49,1.18,0.81,1.42,1.77,1.58,3.17
December,,,,,,1.83,2.72,2.52,0.85,1.15,1.03,2.22,1.15,0.64,2.75,1.67,2.05,,1.05,1.18,1.33,2.08,0.48,1.68,1.8,2.15,1.54,2.4,3.25,2.82
Total,,,,,,28.52,29.53,17.29,26.33,21.31,21.08,19.38,18.8,20.07,21.18,26.32,18.23,,,22.65,28.7,26.68,18.43,24.12,17.9,18.9,18.75,29.84,18.83,27.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
