BALTASOUND,,,,,,,,,,
Grid ref,HP608093,Long,-0.886035,Lat,60.762151,Elevation,78,ft,,
Station no,5834,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.37,6.15,6.46,6.19,4.45,2.91
February,,,,,2.33,2.12,5.92,3.09,1.82,7.02
March,,,,,1.51,2.07,5.34,1.8,1.64,1.79
April,,,,,3.02,2.45,2.23,1.9,3.4,3.54
May,,,,,1.94,2.82,2.85,4.3,1.27,1.87
June,,,,,1.75,3.2,2.55,0.4,2.76,2.25
July,,,,,0.75,3.25,2.6,2.53,2.8,2.38
August,,,,,0.75,2.52,2.27,3.08,2.48,2.59
September,,,,,4.59,2.01,5.65,4.61,1.55,3.1
October,,,,,6.35,4.96,7.01,4.74,3.71,2.96
November,,,,,3.73,3.81,4.86,3.17,5.94,5.4
December,,,,,5.07,5.41,4.87,5.32,8.13,5.37
Total,,,,,35.16,40.77,52.61,41.13,39.95,41.18
