BATH-MONKTON-COMBE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST769621,Long,-2.33314,Lat,51.35758,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.86,3.62,3.94,3.87,4.99,1.4,4.68,2.37,3.66,2.98,2.91,1.04,4.02,4.46,3.81,5.26,2.41,3.76,3.34,,,,,,,,,,2.66,0.93,2.18,3.18,4.31,2.55,2.4,3.15,2.64
February,,,,,0.27,4.32,2.23,4.17,3.09,0.99,0.89,2.95,0.18,3.26,0.19,2.34,2.62,5.76,1.17,1.62,3.02,2.88,0.58,,,,,,,,,,0.79,1.99,3.56,1.7,0.33,2.77,3.16,0.25,1.89
March,,,,,1.44,0.68,1.35,3.43,3.14,0.23,2.1,0.67,2.33,3.46,2.97,1.12,2.53,4.1,0.22,1.79,2.65,3.87,1.95,,,,,,,,,,2.85,0.6,3.2,1.15,0.85,2.27,0.91,2.69,2.37
April,,,,,3.04,2.47,3.53,2.08,1.53,0.87,1.92,2.78,3.85,1.04,2.22,5.3,2.48,3.14,0.14,3.86,2.82,1.48,1.61,,,,,,,,,,1.38,2.46,0.46,1.14,1.51,0.09,1.12,1.84,1.15
May,,,,,5.17,4.04,3.48,1.05,1.96,1.9,2,3.17,5.73,2.54,1.21,1.81,0.85,2.47,1.83,1.08,2.06,1.47,5.2,,,,,,,,,,4.4,1.76,2.11,4.18,0.46,2.32,2.16,1.95,0.85
June,,,,,2.42,0.01,2.74,3.74,3.11,1.29,0.49,2.69,1.4,1.16,1.97,4.5,2.35,1.41,1.55,2.43,0.63,1.91,0.39,,,,,,,,,,2.45,1.38,4.4,3.37,2.13,1.38,4.6,1.96,3.24
July,,,,,3.65,4.02,2.68,3.33,2.61,2.01,2.58,4.81,5.21,2.69,2.05,0.77,6.67,2.93,3.82,4.48,3.45,1.73,2.25,,,,,,,,,,1.13,2.89,3.01,0.31,3.22,3.98,3.03,2.27,3.33
August,,,,,2.89,2.27,1.73,4.34,3.41,2.61,4.02,4.64,0.77,1.14,3.39,1.82,0.59,0.94,3.06,4.21,0.15,6.18,3.93,,,,,,,,,,4.02,2.68,2.7,0.72,4.51,3.9,3.09,1.53,4.13
September,,,,,3.5,3.62,1.45,6.34,1.54,0.58,3.89,2.14,4.77,2.78,2.78,5.7,3.29,2.46,3.01,0.92,1.68,0.61,1.89,,,,,,,,,,3.17,3.8,3.83,1.97,3.11,3.35,3.99,0.15,3.68
October,,,,,5.54,3.19,4.18,2.66,5.04,5.33,3.46,1.33,6.4,2.94,2.2,5.03,1.88,3.41,5.76,3.7,4.15,2.07,3.86,,,,,,,,,,4.27,2.29,2.73,1.39,2.1,2.5,2.26,2.46,6.99
November,,,,,2.89,2.14,7.19,3.3,3.83,7.38,4.89,3.89,2.64,0.88,1.58,6.86,3.82,1.87,4.85,6.86,8.32,1.86,1.8,,,,,,,,,,3.97,1.65,5.75,2.78,0.63,2.54,2.4,3.04,4.21
December,,,,,4.54,4.09,0.68,2.88,3.78,6.81,3.58,1.71,1.69,1.23,6.25,3.86,3.59,2.67,4.12,2.53,1.7,2.05,3.99,,,,,,,,,,3.13,0.79,2.12,3.88,3.32,2.05,2.73,5,4.85
Total,,,,,39.21,34.47,35.18,41.19,38.03,31.4,34.5,33.15,38.63,26.1,29.72,40.15,34.69,35.62,33.34,38.74,33.04,29.87,30.79,,,,,,,,,,34.22,23.22,36.05,25.77,26.48,29.7,31.85,26.29,39.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs lived at Monkswold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Note says 'Appears low',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Incorrect measure in use since 1943 and tree causing shelter - deleted 1943-51 inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 May 5th Gauge moved to better site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Slightly low but print,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as MONKTON COMBE SRC_ID 9537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924-1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
