"BATH (MONKTON COMBE)",,,,,,,,,,,,
Grid ref,ST769620,Long,-2.333129,Lat,51.356597,,,,,,,
Station no,1981,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,2.66,0.93,2.18,3.18,4.31,2.55,2.40,3.15,2.64,,
February,4.09,0.79,1.99,3.56,1.70,0.33,2.77,3.16,0.25,1.89,,
March,2.92,2.85,0.60,3.20,1.15,0.85,2.27,0.91,2.69,2.37,,
April,3.22,1.38,2.46,0.46,1.14,1.51,0.09,1.12,1.84,1.15,,
May,2.41,4.40,1.76,2.11,4.18,0.46,2.32,2.16,1.95,0.85,,
June,1.45,2.45,1.38,4.40,3.37,2.13,1.38,4.60,1.96,3.24,,
July,1.16,1.13,2.89,3.01,0.31,3.22,3.98,3.03,2.27,3.33,,
August,4.85,4.02,2.68,2.70,0.72,4.51,3.90,3.09,1.53,4.13,,
September,2.84,3.17,3.80,3.83,1.97,3.11,3.35,3.99,0.15,3.68,,
October,0.59,4.27,2.29,2.73,1.39,2.10,2.50,2.26,2.46,6.99,,
November,7.54,3.97,1.65,5.75,2.78,0.63,2.54,2.40,3.04,4.21,,
December,2.31,3.13,0.79,2.12,3.88,3.32,2.05,2.73,5.00,4.85,,
Total,36.01,34.22,23.22,36.05,25.77,26.48,29.70,31.85,26.29,39.33,,
Calc annual,36.01,34.22,23.22,36.05,25.77,26.48,29.70,31.85,26.29,39.33,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
