Oswaldtwistle Waterworks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD742257,Long,-2.3925095,Lat,53.727056,Elevation,635,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,5.32,1.83,7.81,7.16,6.35,6.91,2.75,9.18,4.89,1.95,2.19,0.55,4.54,8.29,,,7.38,2.61,1.57,2.02,7.49,,,,,,,,,
February,3.02,5.35,4.25,0.92,3.31,1.26,6.26,7.31,1.75,4.63,4.27,7.21,3.74,4.9,,,1.12,2.02,0.96,2.79,0.65,,,,,,,,,
March,3.69,2.88,6.55,4.67,6.59,1.5,5.16,5.7,3.14,2.59,3.58,5.96,4.33,1,,,3.69,2.31,3.08,2.87,4.65,,,,,,,,,
April,2.33,3.62,3.8,0.43,3.44,1.79,2.57,2.8,2.2,2.02,1.97,1.74,6.51,1.49,,,3.22,2.44,1.63,2.29,1.39,,,,,,,,,
May,2.58,2.25,3.11,3.44,1.7,3.78,0.69,4.18,5.48,1.9,3.1,5.08,3.13,1.02,,,3.96,2.16,1.3,3.19,3.01,,,,,,,,,
June,3.31,3.64,6.49,2.83,0.89,5.27,5.12,3.67,3.93,5.87,4.44,1.74,6.51,4.52,,,2.47,0.69,2.38,1.85,3.73,,,,,,,,,
July,3.18,6.65,4.28,5.61,3.3,6.13,3.45,7.1,0.9,6.85,5.57,5.5,7.23,4.37,,,4.4,2.18,6.69,3.37,3.82,,,,,,,,,
August,2.99,2.12,5.57,5.72,6.72,3.03,6.82,7.2,6.2,8.31,2.37,8.3,6.2,3.42,,,2.79,1.51,4.52,6.96,6.6,,,,,,,,,
September,3.7,4.34,7.04,3.24,4.97,5.97,5.29,5.24,7.93,3.56,5.07,2.27,2.51,7.88,,,4.54,6.04,1.29,4.45,2.67,,,,,,,,,
October,15.45,6.32,7.04,7.56,8.07,5.81,3.5,7.77,6.9,3.6,3.26,2.79,4.22,5.63,,,6.44,2.15,2.55,4.16,5.13,,,,,,,,,
November,5.08,1.62,6.76,4.79,5.85,4.53,4.21,8.02,3.55,1.44,7,6.69,9.77,4.69,,,4.49,2.94,8.3,2.8,10.76,,,,,,,,,
December,4.08,3.97,5.35,1.8,4.25,2.74,7.74,6.34,4.18,3.29,8.48,7.93,4.54,4.77,,,7.96,2.97,3.64,4.68,0.43,,,,,,,,,
Total,54.73,44.59,68.05,48.17,55.44,48.72,53.56,74.51,51.05,46.01,51.3,55.76,63.23,51.98,,,52.46,30.02,37.91,41.43,50.33,,,,,,,,,
