KINETON FENNY COMPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP417518,Long,-1.3913,Lat,52.1638,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,2.42,0.63,0.77,1.72,2.72,2.22,1.4,3.21,2.57,0.82,0.73,2.2,1.64,1.3,1.74,1.29,,1.16,1.87,0.93,
February,,,,,,,,,,2.7,3.37,2.81,2.36,3.93,0.68,2.95,0.6,0.71,1.21,1.81,0.79,0.03,0.96,2.21,2.22,,0.41,2.92,1.08,
March,,,,,,,,,,0.76,1.44,1.42,1.08,0.96,2.61,0.88,1.88,1.26,3.37,3.48,1.11,1.22,0.65,0.15,1.07,,2.3,3.76,0.66,
April,,,,,,,,,,2.9,1.69,1.64,3.7,1.41,2.03,2.21,1.96,1,1.52,1.69,0.88,1.44,0.6,0.1,0.52,,1.11,1.59,2.17,
May,,,,,,,,,,2.94,0.48,0.97,1.67,1.78,0.65,1.87,4.78,1.59,1,3.71,1.63,3.35,1.26,0.2,3,,0.28,1.21,4.33,
June,,,,,,,,,,4.87,2.98,2.33,4.34,3.46,2.05,1.96,0.99,2.28,1.69,1.73,2.2,1.96,1.48,0.65,2.01,,2.22,2.25,0.68,
July,,,,,,,,,,3.1,7.71,2.79,3.82,3.85,2.42,0.19,3.13,0.79,5.95,2.12,2.33,1.39,2.06,2.51,2.8,,1.59,2.65,1.1,
August,,,,,,,,,,4.09,0.74,4.75,2.06,0.67,1.57,2.35,1.66,1.14,1.46,2.01,1.75,2.39,0.47,2.35,1.1,,2.32,3.66,2.86,
September,,,,,,,,,,3.04,4.2,1.6,2.67,4.46,0.73,3.88,1.91,2.83,0.99,3,0.6,1.33,2.21,0.32,2.15,,5.15,2.26,0.86,
October,,,,,,,,,,1.24,5.45,2.94,5.71,1.92,1.8,3.67,4.43,2.18,0.43,2.06,0.93,4.64,2.4,3.33,2.58,,2.98,1.46,3.48,
November,,,,,,,,,,1,2.12,2.48,4.38,3.24,1.68,3.63,2.24,2.13,4.94,1.35,2.6,2.23,0.89,1.39,3.73,,1.31,1.29,2.21,
December,,,,,,,,,,0.62,2.6,3.37,3.15,0.75,1.96,0.76,4.21,1.65,2.37,1.49,0.75,4.35,1.42,2.23,2.4,,3.38,2.27,2.58,
Total,,,,,,,,,,29.68,33.41,27.87,36.66,29.15,20.4,25.75,31,20.13,25.75,25.18,17.77,25.97,15.7,17.18,24.87,,24.21,27.19,22.94,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt2-page-039.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_07_pt3-page-049.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1-page-003.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
