"CANNICH  (BALCLADAICH)",,,,,,,,,,,,
Grid ref,NH297259,Long,-4.827582,Lat,57.291855,,,,,,,
Station no,5713/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.95,5.33,3.27,4.55,2.63,4.63,9.78,5.19,3.40,4.22,,
February,3.81,1.95,2.69,3.71,3.60,2.84,4.77,2.80,1.71,4.26,,
March,2.06,3.78,2.05,3.28,1.53,2.10,3.43,1.83,1.90,1.25,,
April,4.75,2.11,2.85,2.16,1.23,1.85,1.63,3.08,4.11,4.72,,
May,1.14,1.72,3.97,3.76,2.55,3.18,1.70,5.80,1.58,1.26,,
June,2.23,2.01,1.56,2.12,1.35,1.66,2.42,2.26,2.70,1.78,,
July,2.85,2.11,2.95,2.16,0.49,3.73,5.85,2.72,4.22,1.78,,
August,3.29,4.17,3.50,2.14,0.60,6.30,5.17,3.00,2.56,6.08,,
September,2.73,3.76,2.83,4.62,3.55,4.60,3.60,3.47,0.95,3.05,,
October,2.06,6.64,1.58,7.66,4.99,5.82,4.95,7.44,6.06,2.79,,
November,6.22,3.54,7.02,5.70,1.42,5.68,1.77,0.95,6.60,3.56,,
December,8.45,5.02,5.54,10.39,8.90,9.52,8.35,4.04,5.80,6.23,,
Total,44.54,42.14,39.81,52.25,32.84,51.91,53.42,42.58,41.59,40.98,,
Calc annual,44.54,42.14,39.81,52.25,32.84,51.91,53.42,42.58,41.59,40.98,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
