CANNICH  (BALCLADAICH),,,,,,,,,,,,,,,,,,,,
Grid ref,NH297259,Long,-4.827582,Lat,57.291855,Elevation,350,ft,,,,,,,,,,,,
Station no,5713/5/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.97,6.07,5.42,6.04,8.73,4.66,4.95,5.33,3.27,4.55,2.63,4.63,9.78,5.19,3.4,4.22
February,,,,,6.17,5.39,0.67,6.45,6.96,6.27,3.81,1.95,2.69,3.71,3.6,2.84,4.77,2.8,1.71,4.26
March,,,,,3.74,1.83,2.2,3.74,2.33,2.81,2.06,3.78,2.05,3.28,1.53,2.1,3.43,1.83,1.9,1.25
April,,,,,2,2.37,9.38,3.7,4.13,5.88,4.75,2.11,2.85,2.16,1.23,1.85,1.63,3.08,4.11,4.72
May,,,,,3.21,2.38,2.65,3.02,2.11,1.83,1.14,1.72,3.97,3.76,2.55,3.18,1.7,5.8,1.58,1.26
June,,,,,2.61,4.28,3.14,4,0.95,1.92,2.23,2.01,1.56,2.12,1.35,1.66,2.42,2.26,2.7,1.78
July,,,,,2.22,5.81,3.61,4.1,1.59,3.25,2.85,2.11,2.95,2.16,0.49,3.73,5.85,2.72,4.22,1.78
August,,,,,1.45,2.46,1.23,6.52,5.24,3.6,3.29,4.17,3.5,2.14,0.6,6.3,5.17,3,2.56,6.08
September,,,,,4.56,6.64,5.49,4.7,1.5,9.11,2.73,3.76,2.83,4.62,3.55,4.6,3.6,3.47,0.95,3.05
October,,,,6.35,4.28,0.47,2.18,3.61,4.29,5.95,2.06,6.64,1.58,7.66,4.99,5.82,4.95,7.44,6.06,2.79
November,,,,4.87,0.32,3.98,9.22,4.24,4.56,4.23,6.22,3.54,7.02,5.7,1.42,5.68,1.77,0.95,6.6,3.56
December,,,,5.18,4.74,4.46,3.17,8.29,11.9,3.43,8.45,5.02,5.54,10.39,8.9,9.52,8.35,4.04,5.8,6.23
Total,,,,,39.27,46.14,48.36,58.41,54.29,52.94,44.54,42.14,39.81,52.25,32.84,51.91,53.42,42.58,41.59,40.98
,,,,,,,,,,,,,,,,,,,,
1944 -100 Deleted,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5713/5/5,,,,,,,,,,,,,,,,,,,
Midas,109,,,,,,,,,,,,,,,,,,,
Hyd Stn,795019,,,,,,,,,,,,,,,,,,,
