DUFFIELD-KIRKSTYLES-OBSERVER-WORTHINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK334431,Long,-1.5039552,Lat,52.984205,Elevation,235,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,2663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4,1.26,1.21,1.04,2.43,0.83,4.52,3.63,1.47,,1.17,2.15,1.77,4.29,3.36,,,,,,,,,,
February,,,,,,,3.28,2.31,1.59,0.68,1.98,1.99,1.6,0.92,1.39,,3.78,0.7,2.03,2.07,2.47,,,,,,,,,,
March,,,,,,,1.76,1.39,2.6,3.44,0.73,1.56,3.24,3.82,2.62,,3.5,1.56,1.46,5.12,,,,,,,,,,,
April,,,,,,,0.76,1.41,2.32,1.5,2.31,1.66,0.27,3.01,0.98,,1.58,1.03,1.16,1.47,,,,,,,,,,,
May,,,,,,,1.8,3.67,2.92,2.02,2.37,0.81,2.65,2.06,2.02,,2.11,1.79,3.54,1.37,,,,,,,,,,,
June,,,,,,,1.63,3.6,1.74,2.35,1.93,2.88,4.53,1.19,1.66,,2.36,2.2,0.67,0.81,,,,,,,,,,,
July,,,,,,,0.67,2.66,2.28,3.95,2.99,0.07,4.01,0.7,4.84,,2.2,1.31,3.24,2.08,,,,,,,,,,,
August,,,,,,,1.56,2.71,3.97,2.11,3.2,1.72,5.85,1.65,2.02,,1.75,4.99,2.03,1.89,,,,,,,,,,,
September,,,,,,,0.96,0.88,1.73,3.17,0.33,1.43,0.73,1.63,0.95,,0.9,1.58,5.9,2.05,,,,,,,,,,,
October,,,,,,,5.71,4.11,0.97,4.01,2.3,2.06,3.54,3.27,2.39,,2.55,4.23,1.65,2.68,,,,,,,,,,,
November,,,,,,,3.11,2.48,1.38,0.34,4.74,2.08,2.34,2.5,3.55,,2.97,1.87,1.55,2.25,,,,,,,,,,,
December,,,,,,,2.45,3.11,1.81,5.26,4.26,4.07,3.04,1.06,5.82,,2.38,0.91,4.64,4.45,,,,,,,,,,,
Total,,,,,,,27.69,29.59,24.52,29.87,29.57,21.16,36.32,25.44,29.71,,27.25,24.32,29.64,30.53,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Kirkstyles. Altitudes match. The observer W B Worthington lived there from 1905 presumably until his death in 1922.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
