PEEBLES (HYDRO),,,,,,,,,,,,,,,,,,,,,
Grid ref,NT260405,Long,-3.1775334,Lat,55.652373,Elevation,700,ft,,,,,,,,,,,,,
Station no,5075,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.96,3.89,3.56,6.21,1.32,4.18,2.79,5.04,3.6,,,,,,,
February,,,,,,4.69,3.33,1.22,3.85,1.39,,3.56,0.69,3.9,,,,,,,
March,,,,,,2.85,2.37,3.42,3.99,0.18,,1.08,3.12,1.93,,,,,,,
April,,,,,,3.88,2.21,2.77,1.09,1.67,1.9,3.46,3.64,1.85,,,,,,,
May,,,,,,4.35,2.78,2.5,1.58,1.77,1.5,3.27,3.28,2.09,,,,,,,
June,,,,,,0.68,3.71,3.12,3.79,1.67,,5.22,0.99,1.64,,,,,,,
July,,,,,,1.27,2.77,3.17,2.02,3.4,,3.64,4.1,4.46,,,,,,,
August,,,,,,3.2,3.06,5.42,3.78,4.9,8.02,4.31,1.11,1.94,,,,,,,
September,,,,,,3.37,4.35,6.74,1.87,0.35,3.26,1.34,4.48,1.08,,,,,,,
October,,,,,,3.17,5.03,4.57,4.93,4.06,4.25,2.38,7.45,2.81,,,,,,,
November,,,,,,1.77,4.34,3.27,3.24,3.79,4.8,4.37,2.28,2.19,,,,,,,
December,,,,,,2.85,1.07,1.98,2.3,8.1,3.45,2.55,4.71,0.74,,,,,,,
Total,,,,,,35.04,38.91,41.74,38.65,32.6,,37.97,40.89,28.23,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"1930 Feb, Mar,Jun, July, Total estimated hence removed",,,,,,,,,,,,,,,,,,,,,
