"WEST BUCKLAND COUNTY SCHOOL",,,,,,,,,,,,
Grid ref,SS667315,Long,-3.903831,Lat,51.067310,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.25,2.63,3.24,3.24,,
February,,,,,,,,2.41,3.24,0.88,,
March,,,,,,,,1.62,3.66,5.00,,
April,,,,,,,,4.85,2.25,4.69,,
May,,,,,,,,3.14,1.60,2.33,,
June,,,,,,,,4.59,0.84,1.98,,
July,,,,,,,,2.50,3.63,3.50,,
August,,,,,,,,4.49,4.86,2.52,,
September,,,,,,,,0.90,3.21,3.63,,
October,,,,,,,,6.16,1.66,8.06,,
November,,,,,,,,3.15,2.21,2.87,,
December,,,,,,,,5.96,5.36,6.19,,
Total,,,,,,,45.82,42.40,35.76,44.89,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,4.25,42.40,35.76,44.89,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,41.57,-0.00,-0.00,0.00,,
