"WEST BUCKLAND SCHOOL",,,,,,,,,,,,
Grid ref,SS667314,Long,-3.903794,Lat,51.066411,,,,,,,
Station no,1839/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.11,5.96,1.66,3.35,4.23,4.80,4.00,3.61,5.29,3.82,,
February,5.43,1.95,2.79,5.32,3.60,0.53,5.70,4.67,0.29,3.58,,
March,5.09,3.91,1.50,3.25,1.20,1.44,4.43,1.03,4.62,1.69,,
April,4.41,5.24,3.10,3.46,2.89,1.35,0.38,1.24,3.03,3.54,,
May,3.02,3.00,1.79,3.27,5.02,0.96,2.09,4.34,1.23,1.14,,
June,1.49,2.56,1.93,4.36,3.83,2.44,1.69,3.70,2.79,1.65,,
July,1.95,1.51,7.24,7.07,1.53,5.61,4.60,3.53,3.61,1.96,,
August,6.62,6.91,3.93,3.66,0.49,3.76,6.07,7.05,4.11,5.50,,
September,4.10,4.78,6.71,6.33,3.03,6.11,7.71,5.94,0.59,5.64,,
October,2.57,6.12,2.57,5.93,2.46,3.05,5.27,4.91,6.68,9.13,,
November,6.84,4.81,3.74,8.37,3.68,2.11,2.27,3.99,8.26,7.30,,
December,5.07,5.40,1.21,5.18,7.66,4.26,3.22,5.09,8.88,7.83,,
Total,52.70,52.15,38.17,59.55,39.62,36.42,47.43,49.10,49.38,52.78,,
Calc annual,52.70,52.15,38.17,59.55,39.62,36.42,47.43,49.10,49.38,52.78,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
