HAYDON BRIDGE RIDLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,NY793638,Long,-2.324865,Lat,54.968387,Elevation,340,ft,,,,,,,,,,,,
Station no,RR4815,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.22,2.69,3.86,1.56,5.15,1.21,1.71,1.27,3.3,1.62,1.87,1.49,3.76,,,,,
February,,,1.49,1.62,1.11,1.33,0.96,1.35,2.35,1.66,1.46,0.14,2.84,4.34,7.39,,,,,
March,,,2.46,1.25,1.68,1.36,2.3,2.31,3.26,2.94,2.9,2.71,1.47,0.88,2.38,,,,,
April,,,3.23,1.11,0.99,1.6,2.19,1.25,2.53,3.81,1.5,1.97,1.52,1.01,1.63,,,,,
May,,,0.85,2.01,1.76,2.49,4.62,2.03,1.24,1.66,1.69,1.51,4.36,3.68,3.71,,,,,
June,,,4.89,2.47,0.47,1.2,3.09,0.47,3.73,0.56,3.88,0.48,5.58,2.62,3.95,,,,,
July,,,2.76,4.11,6.73,1.27,6.19,2.3,6.14,3.66,2.09,3.9,2.08,2.59,3.58,,,,,
August,,,2.83,3.22,0.87,3.23,1.21,2,3.04,5.18,6.97,5.87,5.57,4,4.73,,,,,
September,,4.02,1.61,4.89,1.12,1.89,4.54,4.97,1.11,1.47,2.45,4.03,5.02,3.27,1.32,,,,,
October,,4.41,3.15,2.81,1.88,3.05,5.42,2.28,1.89,5.39,2.54,2.23,6.22,2.83,3.8,,,,,
November,,1.86,3.22,1.91,1.51,1.53,5.07,4.71,6.78,1.43,4.48,2.55,1.87,3.33,1.48,,,,,
December,,2.36,1.15,1.86,3.42,1.04,4.67,3.41,0.89,1.9,1.27,6.03,1.49,2.94,2.16,,,,,
Total,,,28.86,29.95,25.4,21.55,45.41,28.29,34.67,30.93,34.53,33.04,39.89,32.98,39.89,,,,,
