"STRANRAER (PENWHINN)",,,,,,,,,,,,
Grid ref,NX127693,Long,-4.928644,Lat,54.982979,,,,,,,
Station no,RR4039,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,9.04,2.88,6.83,,
February,,,,,,,,6.08,2.73,5.97,,
March,,,,,,,,2.07,5.09,2.69,,
April,,,,,,,,2.09,3.47,4.82,,
May,,,,,,,,2.31,1.07,2.56,,
June,,,,,,,,5.09,3.16,3.63,,
July,,,,,,,,3.98,3.81,8.45,,
August,,,,,,,,5.54,1.02,5.07,,
September,,,,,,,,6.27,3.10,5.94,,
October,,,,,,,,4.62,7.56,5.46,,
November,,,,,,,,4.24,6.04,9.07,,
December,,,,,,,7.74,7.32,11.34,5.11,,
Total,,,,,,,,58.65,51.27,65.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,7.74,58.65,51.27,65.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,,
