SYERSTON-AIRFIELD,,,,,,,,,,
Grid ref,SK729477,Long,-0.91465,Lat,53.02164,Elevation,208,ft,,
Station no,2592/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.82,2.47,3.97
February,,,,,,,,4.25,0.15,1.69
March,,,,,,,,1.34,1.23,1.61
April,,,,,,,,0.66,2.65,0.87
May,,,,,,,,2.07,0.57,0.85
June,,,,,,,,4.33,0.93,0.99
July,,,,,,,,3.97,1.46,3.38
August,,,,,,,,2.85,0.59,4.34
September,,,,,,,,2.46,0.06,3.55
October,,,,,,,,1.53,1.79,4.65
November,,,,,,,,1.06,1.66,2.74
December,,,,,,,,2.72,2.56,3.09
Total,,,,,,,,30.06,16.12,31.73
