"FAKENHAM (WELLS ROAD)",,,,,,,,,,,,
Grid ref,TF917298,Long,0.844219,Lat,52.831610,,,,,,,
Station no,1426/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.41,2.75,1.49,,,,,,,,,
February,2.72,1.21,1.56,,,,,,,,,
March,3.43,2.49,1.20,,,,,,,,,
April,3.35,1.82,2.58,,,,,,,,,
May,2.72,2.69,1.61,,,,,,,,,
June,1.25,0.59,4.01,,,,,,,,,
July,2.31,1.33,2.28,,,,,,,,,
August,3.24,2.53,2.31,,,,,,,,,
September,2.29,3.98,1.26,,,,,,,,,
October,0.90,2.25,2.81,,,,,,,,,
November,3.07,4.44,1.51,,,,,,,,,
December,1.55,2.33,1.33,,,,,,,,,
Total,30.24,28.41,23.95,,,,,,,,,
Calc annual,30.24,28.41,23.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
