NITHER PLACE,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 519 555,Long,-4.361542,Lat,55.770518,Elevation,420,ft,,,,,,,,,,,,
Station no,RR1382,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,3.4,3.6,3.8,4.6,3.4,6.2,2.5,3.5,9.8,5.1,,,,,,,,,
February,,4.1,4.55,1.3,4.9,3.5,3.7,3.3,11.4,3.7,11.9,,,,,,,,,
March,,4.1,7,1.65,5.15,3,5.5,1.8,3.4,2.8,1.2,,,,,,,,,
April,,3.5,0.05,3.75,2.65,1.9,1.75,4,0.9,1.9,3.7,,,,,,,,,
May,,5,2.6,3.7,0.1,2.4,2.4,3.15,2.2,4.8,3,,,,,,,,,
June,,2.5,3,2.8,5.8,4.6,3.3,2.95,4.15,2.8,2.7,,,,,,,,,
July,,3.3,4.6,4.88,3.8,3.25,5.3,2.5,4.6,5.8,2,,,,,,,,,
August,,5.75,3.05,4.1,5.05,2.6,5.65,3.4,3.7,4.5,4.75,,,,,,,,,
September,,4.6,2.2,1.67,2.6,2.25,2.4,4.2,2.8,2.6,2.7,,,,,,,,,
October,,5.5,2.1,7.6,2.95,7.84,5,7.5,3.2,3,4.8,,,,,,,,,
November,,4,3.7,7,3.7,8.1,3.9,9.2,7.55,10,4,,,,,,,,,
December,,6.6,10.55,2.7,0.5,8.35,3.1,4.3,7.9,1.5,8.5,,,,,,,,,
Total,,52.35,47,44.95,41.8,51.19,48.2,48.8,55.3,53.2,54.35,,,,,,,,,
