NETHERPLACE MEARNS,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 519 555,Long,-4.361542,Lat,55.770518,Elevation,420,ft,,,,,,,,,,,,
Station no,RR1382,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,8.9,3.5,2.2,10.2,5.5,3.75,8.38,4.63,8.38,6,2,5,8.38,,7,,,,,
February,5.4,4.5,1.4,5.75,4.38,2.75,5.25,6.12,7.75,5.75,3.75,5.75,4,,2.12,,,,,
March,4.5,3.7,5.2,2,8.12,2.38,2.25,1.38,8.12,1,1.5,4.5,3.75,,4.75,,,,,
April,1,0,4,5.75,2.13,1.12,1.5,7,3.25,2,2.25,4.25,1.5,,3,,,,,
May,2.5,0.5,3.2,4,1,3,1.87,3.12,3.5,1.5,5.13,1.25,3.5,,2.63,,,,,
June,4,2.6,2.5,4.13,4.5,1.13,2,1.38,1.75,2,2.06,2,6.75,,1.44,,,,,
July,2.3,3.5,4.2,0.5,3,2.25,5.75,5.12,0.5,2.5,2.12,4.5,5,,2.5,,,,,
August,3.25,5.8,3,3.75,2.5,5.5,5,4.63,5.88,0.75,2.25,-999,4.25,,4.87,,,,,
September,1.5,5.5,1.4,7.37,6.25,2,6.5,5.25,3,8,4.37,-999,8.75,,6.75,,,,,
October,5.5,4.1,8.3,5.5,5.62,5.12,3.25,6,7.12,2.13,5.38,3.5,4.75,,11.38,,,,,
November,2.25,9,2.2,5.75,4.25,4.13,5.38,1.62,5,5.75,2.5,4.25,7.5,,5.12,,,,,
December,2.3,4,5.4,8.75,4.5,5.25,7.12,4.5,8.75,9.37,3.38,6.38,8.25,,5,,,,,
Total,43.4,46.7,43,63.45,51.75,38.38,54.25,50.75,63,46.75,36.69,47.88,66.38,,56.56,,,,,
