"ABERDEEN DUTHIE PARK",,,,,,,,,,,,
Grid ref,NJ936045,Long,-2.107358,Lat,57.131372,,,,,,,
Station no,RR4355,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.62,1.96,1.70,4.51,2.29,0.61,1.50,1.95,1.02,1.59,,
February,1.85,2.47,1.08,2.26,4.05,2.05,1.89,2.51,1.06,0.53,,
March,2.35,1.95,1.35,1.64,2.55,3.42,2.08,1.80,3.56,4.58,,
April,1.61,2.28,2.69,1.84,1.67,3.37,1.48,1.58,1.57,3.05,,
May,0.97,2.02,3.89,2.24,2.75,1.38,4.02,3.87,1.39,2.25,,
June,1.94,1.28,1.59,1.49,0.81,0.87,0.82,3.77,1.49,1.60,,
July,3.91,1.67,3.97,5.09,1.44,1.78,2.10,1.72,2.33,4.65,,
August,2.94,2.74,2.75,4.34,2.24,3.24,3.29,2.68,2.10,2.09,,
September,2.04,1.36,1.36,3.05,2.09,1.94,0.86,1.05,3.43,2.03,,
October,3.40,2.80,1.66,4.66,0.79,2.96,5.24,5.30,2.65,2.43,,
November,4.74,2.21,2.56,3.38,1.17,4.96,2.92,2.28,1.66,1.90,,
December,3.15,3.87,2.76,2.79,2.45,0.89,3.91,3.46,5.19,4.62,,
Total,32.52,26.61,27.36,37.29,24.30,27.47,30.11,31.97,27.45,31.32,,
Calc annual,32.52,26.61,27.36,37.29,24.30,27.47,30.11,31.97,27.45,31.32,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00,0.00,,
