STRATHNAIRN (FARR),,,,,,,,,,,,
Grid ref,NH683331,Long,-4.191515,Lat,57.369251,,,,,,,
Station no,5701/6/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.24,4.38,4.05,4.66,,
February,,,,,,,3.58,2.99,1.26,4.95,,
March,,,,,,,3.32,2.16,1.26,0.69,,
April,,,,,,,0.49,1.87,2.77,2.11,,
May,,,,,,,1.14,2.63,0.81,0.75,,
June,,,,,,,1.87,1.33,2.44,2.80,,
July,,,,,,,5.44,4.10,2.84,2.61,,
August,,,,,,,6.65,5.69,1.56,8.31,,
September,,,,,,,1.74,3.24,0.77,2.66,,
October,,,,,,,2.68,2.74,4.75,3.24,,
November,,,,,,,3.13,0.92,4.39,2.24,,
December,,,,,,5.19,3.95,2.48,3.94,3.14,,
Total,,,,,,,37.23,34.53,30.84,38.16,,
Calc annual,0.00,0.00,0.00,0.00,0.00,5.19,37.23,34.53,30.84,38.16,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,,
